Election_Id,Election_Type,Constituency,Candidate_Name,Gender,Age,Caste,Party,Party_Name,Symbol,Total_Votes,Percentage_Votes,State,Year,Result,Margin
L,Loksabha,Adilabad ,Soyam Bapu Rao, Male,52, ST,BJP, Bharatiya Janata Party, lotus,377374,0.349999994,Andhra Pradesh,01-01-2019,Winner,58560
L,Loksabha,Adilabad ,Godam Nagesh, Male,54, ST,TRS, Telangana Rashtra Samithi, car,318814,0.300000012,Andhra Pradesh,01-01-2019,Loser,-58560
L,Loksabha,Adilabad ,Rathod Ramesh, Male,52, ST,INC, Indian National Congress, hand,314238,0.300000012,Andhra Pradesh,01-01-2019,Loser,-63136
L,Loksabha,Adilabad ,Nota,Unknown,Unknown,Unknown,NOTA, None Of The Above,Unknown,13036,0.01,Andhra Pradesh,01-01-2019,Loser,-364338
L,Loksabha,Adilabad ,Kumram Vandana, Female,35, ST,NPRP, Nava Praja Rajyam Party, tractor chalata kisan,8007,0.01,Andhra Pradesh,01-01-2019,Loser,-369367
L,Loksabha,Adilabad ,Bheemrao, Male,33, ST,APoI, Ambedkarite Party Of India, coat,6837,0.01,Andhra Pradesh,01-01-2019,Loser,-370537
L,Loksabha,Adilabad ,Nethavath Ramdas, Male,46, ST,IND, Independent, gas cylinder,5523,0.01,Andhra Pradesh,01-01-2019,Loser,-371851
L,Loksabha,Adilabad ,Dharavath Narendhar Naik, Male,27, ST,JnP, Janasena Party, glass tumbler,5241,NULL,Andhra Pradesh,01-01-2019,Loser,-372133
L,Loksabha,Adilabad ,Ganta Pentanna, Male,47, ST,IND, Independent, pot,4548,NULL,Andhra Pradesh,01-01-2019,Loser,-372826
L,Loksabha,Adilabad ,Kumra Raju, Male,29, ST,IND, Independent, ring,4388,NULL,Andhra Pradesh,01-01-2019,Loser,-372986
L,Loksabha,Adilabad ,Aare Ellanna, Male,53, ST,IND, Independent, bat,3019,NULL,Andhra Pradesh,01-01-2019,Loser,-374355
L,Loksabha,Adilabad ,Pawar Krishna, Male,38, ST,RaJPa, Rashtriya Jankranti Party, helmet,2705,NULL,Andhra Pradesh,01-01-2019,Loser,-374669
