Election_Id,Election_Type,Constituency,Candidate_Name,Gender,Age,Caste,Party,Party_Name,Symbol,Total_Votes,Percentage_Votes,State,Year,Result,Margin
L,Loksabha,Arunachal East,Tapir Gao, Male,54, ST,BJP, Bharatiya Janata Party, lotus,153883,0.520399988,Arunachal Pradesh,01-01-2019,Winner,69948
L,Loksabha,Arunachal East,Lowangcha Wanglat, Male,69, ST,INC, Indian National Congress, hand,83935,0.283800006,Arunachal Pradesh,01-01-2019,Loser,-69948
L,Loksabha,Arunachal East,Mongol Yomso, Male,47, ST,PPA, People's Party Of Arunachal, maize,22937,0.077600002,Arunachal Pradesh,01-01-2019,Loser,-130946
L,Loksabha,Arunachal East,Bandey Mili, Male,38, ST,JD(S), Janata Dal (secular), a lady farmer carrying paddy on her head,15958,0.054000001,Arunachal Pradesh,01-01-2019,Loser,-137925
L,Loksabha,Arunachal East,C C Singpho, Male,68, ST,IND, Independent, helicopter,11493,0.038899999,Arunachal Pradesh,01-01-2019,Loser,-142390
L,Loksabha,Arunachal East,Nota,Unknown,Unknown,Unknown,NOTA, None Of The Above,Unknown,5575,0.0189,Arunachal Pradesh,01-01-2019,Loser,-148308
L,Loksabha,Arunachal East,Ninong Ering, Male,55, ST,INC, Indian National Congress, hand,118455,0.378800005,Arunachal Pradesh,01-01-2014,Winner,12478
L,Loksabha,Arunachal East,Tapir Gao, Male,49, ST,BJP, Bharatiya Janata Party, lotus,105977,0.3389,Arunachal Pradesh,01-01-2014,Loser,-12478
L,Loksabha,Arunachal East,Wangman Lowangcha, Male,54, ST,PPA, People's Party Of Arunachal, maize,32354,0.103500001,Arunachal Pradesh,01-01-2014,Loser,-86101
L,Loksabha,Arunachal East,None Of The Above,Unknown,Unknown,Unknown,NOTA, None Of The Above, nota,4505,0.0144,Arunachal Pradesh,01-01-2014,Loser,-113950
L,Loksabha,Arunachal East,Ninong Ering, Male,50, ST,INC, Indian National Congress,Unknown,115423,0.38319999,Arunachal Pradesh,01-01-2009,Winner,68449
L,Loksabha,Arunachal East,Tapir Gao, Male,48, ST,BJP, Bharatiya Janata Party,Unknown,46974,0.156000003,Arunachal Pradesh,01-01-2009,Loser,-68449
L,Loksabha,Arunachal East,Lowangcha Wanglat, Male,66, ST,AC, Arunachal Congress,Unknown,46539,0.154499993,Arunachal Pradesh,01-01-2009,Loser,-68884
L,Loksabha,Arunachal East,Dr Samson Borang, Male,33, ST,PPA, People's Party Of Arunachal,Unknown,5996,0.0199,Arunachal Pradesh,01-01-2009,Loser,-109427
L,Loksabha,Arunachal East,Tapir Gao, Male,42, ST,BJP, Bharatiya Janata Party,Unknown,83335,NULL,Arunachal Pradesh,01-01-2004,Winner,44994
L,Loksabha,Arunachal East,Wangcha Rajkumar, Male,37, ST,INC, Indian National Congress,Unknown,38341,NULL,Arunachal Pradesh,01-01-2004,Loser,-44994
L,Loksabha,Arunachal East,Tony Pertin, Male,36, ST,IND, Independent,Unknown,17009,NULL,Arunachal Pradesh,01-01-2004,Loser,-66326
L,Loksabha,Arunachal East,Matwang Chimyang, Male,39, ST,IND, Independent,Unknown,16476,NULL,Arunachal Pradesh,01-01-2004,Loser,-66859
L,Loksabha,Arunachal East,Ogong Tamuk, Male,47, ST,IND, Independent,Unknown,5251,NULL,Arunachal Pradesh,01-01-2004,Loser,-78084
L,Loksabha,Arunachal East,Onom Taknyo, Male,39, ST,IND, Independent,Unknown,2962,NULL,Arunachal Pradesh,01-01-2004,Loser,-80373
L,Loksabha,Arunachal East,Wangcha Rajkumar, Male,Unknown,Unknown,INC, Indian National Congress,Unknown,110792,0.582099974,Arunachal Pradesh,01-01-1999,Winner,41403
L,Loksabha,Arunachal East,Tapir Gao, Male,Unknown,Unknown,BJP, Bharatiya Janata Party,Unknown,69389,0.364499986,Arunachal Pradesh,01-01-1999,Loser,-41403
L,Loksabha,Arunachal East,Chau Khouk Manpoong, Male,Unknown,Unknown,AJBP, Ajeya Bharat Party,Unknown,10163,0.053399999,Arunachal Pradesh,01-01-1999,Loser,-100629
L,Loksabha,Arunachal East,Wangcha Rajkumar, Male,Unknown,Unknown,AC, Arunachal Congress,Unknown,68455,0.505900025,Arunachal Pradesh,01-01-1998,Winner,27437
