Election_Id,Election_Type,Constituency,Candidate_Name,Gender,Age,Caste,Party,Party_Name,Symbol,Total_Votes,Percentage_Votes,State,Year,Result,Margin
L,Loksabha,Autonomous District,Horen Sing Bey, Male,49, ST,BJP, Bharatiya Janata Party, lotus,381316,NULL,Assam,01-01-2019,Winner,239626
L,Loksabha,Autonomous District,Biren Singh Engti, Male,76, ST,INC, Indian National Congress, hand,141690,NULL,Assam,01-01-2019,Loser,-239626
L,Loksabha,Autonomous District,Jones Ingti Kathar, Male,68, ST,IND, Independent, battery torch,39583,NULL,Assam,01-01-2019,Loser,-341733
L,Loksabha,Autonomous District,Holiram Terang, Male,61, ST,ASDC, Autonomous State Demand Committee, table,36915,NULL,Assam,01-01-2019,Loser,-344401
L,Loksabha,Autonomous District,Lienkhochon, Male,39, ST,NPEP, National People's Party, book,10037,NULL,Assam,01-01-2019,Loser,-371279
L,Loksabha,Autonomous District,Nota,Unknown,Unknown,Unknown,NOTA, None Of The Above,Unknown,8194,NULL,Assam,01-01-2019,Loser,-373122
L,Loksabha,Autonomous District,Biren Singh Engti, Male,74, ST,INC, Indian National Congress, hand,213152,NULL,Assam,01-01-2014,Winner,24095
L,Loksabha,Autonomous District,Joy Ram Engleng, Male,54, ST,BJP, Bharatiya Janata Party, lotus,189057,NULL,Assam,01-01-2014,Loser,-24095
L,Loksabha,Autonomous District,Chomang Kro, Male,48, ST,IND, Independent, table,108299,NULL,Assam,01-01-2014,Loser,-104853
L,Loksabha,Autonomous District,Pratima Engheepi, Female,39, ST,CPI(ML)(L), Communist Party Of India (marxist-leninist)(liberation), flag with three stars,11762,NULL,Assam,01-01-2014,Loser,-201390
L,Loksabha,Autonomous District,None Of The Above,Unknown,Unknown,Unknown,NOTA, None Of The Above, nota,11747,NULL,Assam,01-01-2014,Loser,-201405
L,Loksabha,Autonomous District,Ashweng J Rengma, Male,56, ST,JMM, Jharkhand Mukti Morcha, bow & arrow,9263,NULL,Assam,01-01-2014,Loser,-203889
L,Loksabha,Autonomous District,Biren Singh Engti, Male,64, ST,INC, Indian National Congress,Unknown,197835,NULL,Assam,01-01-2009,Winner,74548
L,Loksabha,Autonomous District,Elwin Teron, Male,48, ST,ASDC, Autonomous State Demand Committee,Unknown,123287,NULL,Assam,01-01-2009,Loser,-74548
L,Loksabha,Autonomous District,Kulendra Daulagupu, Male,36, ST,BJP, Bharatiya Janata Party,Unknown,100081,NULL,Assam,01-01-2009,Loser,-97754
L,Loksabha,Autonomous District,Dr Jayanta Rongpi, Male,54, ST,CPI(ML)(L), Communist Party Of India (marxist-leninist) (liberation),Unknown,39046,NULL,Assam,01-01-2009,Loser,-158789
L,Loksabha,Autonomous District,Kabon Timungpi, Female,56, ST,IND, Independent,Unknown,10417,NULL,Assam,01-01-2009,Loser,-187418
L,Loksabha,Autonomous District,Hiddhinath Rongpi, Male,45, ST,NCP, Nationalist Congress Party,Unknown,9890,NULL,Assam,01-01-2009,Loser,-187945
L,Loksabha,Autonomous District,Biren Singh Engti, Male,62, ST,INC, Indian National Congress,Unknown,125937,NULL,Assam,01-01-2004,Winner,24129
L,Loksabha,Autonomous District,Elwin Teron, Male,47, ST,ASDC, Autonomous State Demand Committee,Unknown,101808,NULL,Assam,01-01-2004,Loser,-24129
L,Loksabha,Autonomous District,Dr Jayanta Rongpi, Male,49, ST,CPI(ML)(L), Communist Party Of India (marxist-leninist) (liberation),Unknown,74399,NULL,Assam,01-01-2004,Loser,-51538
L,Loksabha,Autonomous District,Ratan Teron, Male,45, ST,BJP, Bharatiya Janata Party,Unknown,57584,NULL,Assam,01-01-2004,Loser,-68353
L,Loksabha,Autonomous District,Sanmoni Kemprai, Male,35, ST,IND, Independent,Unknown,26713,NULL,Assam,01-01-2004,Loser,-99224
L,Loksabha,Autonomous District,Chember G Momin, Male,39, ST,IND, Independent,Unknown,8003,NULL,Assam,01-01-2004,Loser,-117934
L,Loksabha,Autonomous District,Sailendra Hasnu, Male,50, ST,AGP, Asom Gana Parishad,Unknown,3755,NULL,Assam,01-01-2004,Loser,-122182
L,Loksabha,Autonomous District,Harsing Teron, Male,63, ST,SAP, Samata Party,Unknown,3178,NULL,Assam,01-01-2004,Loser,-122759
L,Loksabha,Autonomous District,Dr Jayanta Rongpi, Male,Unknown,Unknown,CPI(ML)(L), Communist Party Of India (marxist-lenninist) (liberation),Unknown,208789,NULL,Assam,01-01-1999,Winner,59875
L,Loksabha,Autonomous District,Biren Singh Engti, Male,Unknown,Unknown,INC, Indian National Congress,Unknown,148914,NULL,Assam,01-01-1999,Loser,-59875
L,Loksabha,Autonomous District,Elwin Teron, Male,Unknown,Unknown,IND, Independent,Unknown,27382,NULL,Assam,01-01-1999,Loser,-181407
