Election_Id,Election_Type,Constituency,Candidate_Name,Gender,Age,Caste,Party,Party_Name,Symbol,Total_Votes,Percentage_Votes,State,Year,Result,Margin
L,Loksabha,Chandigarh,Kirron Kher, Female,66, GEN,BJP, Bharatiya Janata Party, lotus,231188,0.506299973,Chandigarh,01-01-2019,Winner,46970
L,Loksabha,Chandigarh,Pawan Kumar Bansal, Male,70, GEN,INC, Indian National Congress, hand,184218,0.403400004,Chandigarh,01-01-2019,Loser,-46970
L,Loksabha,Chandigarh,Harmohan Dhawan, Male,78, GEN,AAAP, Aam Aadmi Party, broom,13781,0.030200001,Chandigarh,01-01-2019,Loser,-217407
L,Loksabha,Chandigarh,Parveen Kumar, Male,44, SC,BSP, Bahujan Samaj Party, elephant,7396,0.0162,Chandigarh,01-01-2019,Loser,-223792
L,Loksabha,Chandigarh,Nota,Unknown,Unknown,Unknown,NOTA, None Of The Above,Unknown,4335,0.0095,Chandigarh,01-01-2019,Loser,-226853
L,Loksabha,Chandigarh,Avinash Singh Sharma, Male,48, GEN,CHKAP, Chandigarh Ki Aawaz Party, hat,3186,0.007,Chandigarh,01-01-2019,Loser,-228002
L,Loksabha,Chandigarh,Satybir Singh, Male,48, SC,BMFP, Bhartiya Manavadhikaar Federal Party, biscuit,1578,0.0035,Chandigarh,01-01-2019,Loser,-229610
L,Loksabha,Chandigarh,Manjeet Singh Bohat, Male,38, SC,IND, Independent, glass tumbler,1062,0.0023,Chandigarh,01-01-2019,Loser,-230126
L,Loksabha,Chandigarh,Sandeep Bidla, Male,32, SC,BMUP, Bahujan Mukti Party, cot,920,0.002,Chandigarh,01-01-2019,Loser,-230268
L,Loksabha,Chandigarh,Yogesh Dhingra, Male,30, GEN,IND, Independent, batsman,731,0.0016,Chandigarh,01-01-2019,Loser,-230457
L,Loksabha,Chandigarh,Shambhu, Male,41, GEN,SAKAP, Samaj Adhikar Kalyan Party, balloon,658,0.0014,Chandigarh,01-01-2019,Loser,-230530
L,Loksabha,Chandigarh,Nidhi Kansal, Female,38, GEN,IND, Independent, pen nib with seven rays,569,0.0012,Chandigarh,01-01-2019,Loser,-230619
L,Loksabha,Chandigarh,Sharmila Johari, Female,38, SC,BHAPRAP, Bharat Prabhat Party, ludo,531,0.0012,Chandigarh,01-01-2019,Loser,-230657
L,Loksabha,Chandigarh,Satish Kumar, Male,60, GEN,JanSP, Janral Samaj Party, football,486,0.0011,Chandigarh,01-01-2019,Loser,-230702
L,Loksabha,Chandigarh,Sarabjeet Singh Sohal, Male,67, GEN,BhaRP, Bhartiya Rashtrawadi Party, helicopter,461,0.001,Chandigarh,01-01-2019,Loser,-230727
L,Loksabha,Chandigarh,Sanjay Balaan, Male,38, GEN,BJSAP, Bhartiya Jan Samman Party, bat,452,0.001,Chandigarh,01-01-2019,Loser,-230736
L,Loksabha,Chandigarh,Devi Sirohi, Female,66, GEN,IND, Independent, bucket,428,0.0009,Chandigarh,01-01-2019,Loser,-230760
L,Loksabha,Chandigarh,Boota Singh, Male,68, GEN,IND, Independent, pressure cooker,392,0.0009,Chandigarh,01-01-2019,Loser,-230796
L,Loksabha,Chandigarh,Lashkar Singh, Male,78, SC,CPIM, Communist Party Of India (marxist), saw,377,0.0008,Chandigarh,01-01-2019,Loser,-230811
