Election_Id,Election_Type,Constituency,Candidate_Name,Gender,Age,Caste,Party,Party_Name,Symbol,Total_Votes,Percentage_Votes,State,Year,Result,Margin
L,Loksabha,Bastar,Deepak Baij, Male,38, ST,INC, Indian National Congress, hand,402527,0.440499991,Chattisgarh,01-01-2019,Winner,38982
L,Loksabha,Bastar,Baidu Ram Kashyap, Male,46, ST,BJP, Bharatiya Janata Party, lotus,363545,0.397899985,Chattisgarh,01-01-2019,Loser,-38982
L,Loksabha,Bastar,Nota,Unknown,Unknown,Unknown,NOTA, None Of The Above,Unknown,41667,0.045600001,Chattisgarh,01-01-2019,Loser,-360860
L,Loksabha,Bastar,Ramu Ram Mourya, Male,42, ST,CPI, Communist Party Of India, ears of corn and sickle,38395,0.041999999,Chattisgarh,01-01-2019,Loser,-364132
L,Loksabha,Bastar,Aaytu Ram Mandavi, Male,55, ST,BSP, Bahujan Samaj Party, elephant,30449,0.033300001,Chattisgarh,01-01-2019,Loser,-372078
L,Loksabha,Bastar,Suresh Kawasi, Male,38, ST,SHS, Shivsena, bow & arrow,13930,0.0152,Chattisgarh,01-01-2019,Loser,-388597
L,Loksabha,Bastar,Paneesh Prasad Nag, Male,29, ST,APoI, Ambedkarite Party Of India, coat,12421,0.0136,Chattisgarh,01-01-2019,Loser,-390106
L,Loksabha,Bastar,Mangalaram Karma, Male,40, ST,ABSKP, Akhil Bharat Samagra Kranti Party, plastering trowel,9912,0.0108,Chattisgarh,01-01-2019,Loser,-392615
L,Loksabha,Bastar,Dinesh Kashyap, Male,51, ST,BJP, Bharatiya Janata Party, lotus,385829,0.297199994,Chattisgarh,01-01-2014,Winner,124359
L,Loksabha,Bastar,Deepak Karma (bunty), Male,36, ST,INC, Indian National Congress, hand,261470,0.201399997,Chattisgarh,01-01-2014,Loser,-124359
L,Loksabha,Bastar,None Of The Above,Unknown,Unknown,Unknown,NOTA, None Of The Above, nota,38772,0.029899999,Chattisgarh,01-01-2014,Loser,-347057
L,Loksabha,Bastar,Bimala Sori, Female,29, ST,CPI, Communist Party Of India, ears of corn and sickle,33883,0.0261,Chattisgarh,01-01-2014,Loser,-351946
L,Loksabha,Bastar,Soni Sori, Female,39, ST,AAAP, Aam Aadmi Party, broom,16903,0.013,Chattisgarh,01-01-2014,Loser,-368926
L,Loksabha,Bastar,Ad Manbodh Baghel, Male,40, ST,BSP, Bahujan Samaj Party, elephant,9774,0.0075,Chattisgarh,01-01-2014,Loser,-376055
L,Loksabha,Bastar,Arjun Singh Thakur, Male,54, ST,APoI, Ambedkarite Party Of India, coat,8966,0.0069,Chattisgarh,01-01-2014,Loser,-376863
L,Loksabha,Bastar,Shankar Thakur, Male,50, ST,SP, Samajwadi Party, bicycle,8136,0.0063,Chattisgarh,01-01-2014,Loser,-377693
L,Loksabha,Bastar,Com Devchand Duruv, Male,47, ST,CPIM, Communist Party Of India (marxist-leninist), saw,6180,0.0048,Chattisgarh,01-01-2014,Loser,-379649
L,Loksabha,Bastar,Baliram Kashyap, Male,73, ST,BJP, Bharatiya Janata Party,Unknown,249373,0.209000006,Chattisgarh,01-01-2009,Winner,100262
L,Loksabha,Bastar,Shankar Sodi, Male,44, ST,INC, Indian National Congress,Unknown,149111,0.125,Chattisgarh,01-01-2009,Loser,-100262
L,Loksabha,Bastar,Manish Kunjam, Male,42, ST,CPI, Communist Party Of India,Unknown,78420,0.065700002,Chattisgarh,01-01-2009,Loser,-170953
L,Loksabha,Bastar,Aytu Ram Mandavi, Male,44, ST,BSP, Bahujan Samaj Party,Unknown,35098,0.0294,Chattisgarh,01-01-2009,Loser,-214275
L,Loksabha,Bastar,Subhash Chandra Mourya, Male,35, ST,IND, Independent,Unknown,31376,0.0263,Chattisgarh,01-01-2009,Loser,-217997
L,Loksabha,Bastar,Mayaram Netam Alias (fulsing Siladar), Male,60, ST,IND, Independent,Unknown,11493,0.0096,Chattisgarh,01-01-2009,Loser,-237880
L,Loksabha,Bastar,Chandra Shekhar Dhruv (shekhar), Male,42, ST,IND, Independent,Unknown,9840,0.0082,Chattisgarh,01-01-2009,Loser,-239533
L,Loksabha,Bastar,Baliram Kashyap, Male,67, ST,BJP, Bharatiya Janata Party,Unknown,212893,NULL,Chattisgarh,01-01-2004,Winner,54373
L,Loksabha,Bastar,Mahendra Karma, Male,50, ST,INC, Indian National Congress,Unknown,158520,NULL,Chattisgarh,01-01-2004,Loser,-54373
L,Loksabha,Bastar,Ramnath Sarfe, Male,45, ST,CPI, Communist Party Of India,Unknown,30608,NULL,Chattisgarh,01-01-2004,Loser,-182285
L,Loksabha,Bastar,Dasi Bai, Female,49, ST,IND, Independent,Unknown,24556,NULL,Chattisgarh,01-01-2004,Loser,-188337
L,Loksabha,Bastar,Chandra Shekhar Dhruva (shekhar), Male,36, ST,IND, Independent,Unknown,7465,NULL,Chattisgarh,01-01-2004,Loser,-205428
L,Loksabha,Bastar,Laxminath Bharti, Male,56, ST,BSP, Bahujan Samaj Party,Unknown,6856,NULL,Chattisgarh,01-01-2004,Loser,-206037
L,Loksabha,Bastar,Shivram, Male,28, ST,CPI(ML)(L), Communist Party Of India (marxist-leninist) (liberation),Unknown,5017,NULL,Chattisgarh,01-01-2004,Loser,-207876
L,Loksabha,Bastar,Shkuntala Ate, Female,30, ST,SP, Samajwadi Party,Unknown,4510,NULL,Chattisgarh,01-01-2004,Loser,-208383
L,Loksabha,Bastar,Baliram Kashyap, Male,Unknown,Unknown,BJP, Bharatiya Janata Party,Unknown,155421,0.435799986,Chattisgarh,01-01-1999,Winner,20737
L,Loksabha,Bastar,Mahendra Karma, Male,Unknown,Unknown,INC, Indian National Congress,Unknown,134684,0.377700001,Chattisgarh,01-01-1999,Loser,-20737
L,Loksabha,Bastar,Manish Kunjam, Male,Unknown,Unknown,CPI, Communist Party Of India,Unknown,58906,0.165199995,Chattisgarh,01-01-1999,Loser,-96515
L,Loksabha,Bastar,Bal Singh Dhruw, Male,Unknown,Unknown,NCP, Nationalist Congress Party,Unknown,2871,0.0081,Chattisgarh,01-01-1999,Loser,-152550
L,Loksabha,Bastar,Puran Singh Manjhi, Male,Unknown,Unknown,AJBP, Ajeya Bharat Party,Unknown,2602,0.0073,Chattisgarh,01-01-1999,Loser,-152819
L,Loksabha,Bastar,Vijay Nath, Male,Unknown,Unknown,SP, Samajwadi Party,Unknown,2119,0.0059,Chattisgarh,01-01-1999,Loser,-153302
L,Loksabha,Bastar,Baliram Kashyap, Male,Unknown,Unknown,BJP, Bharatiya Janata Party,Unknown,151484,0.422699988,Chattisgarh,01-01-1998,Winner,16881
L,Loksabha,Bastar,Mankuram Sodi, Male,Unknown,Unknown,INC, Indian National Congress,Unknown,134603,0.37560001,Chattisgarh,01-01-1998,Loser,-16881
L,Loksabha,Bastar,Manish Kunjam, Male,Unknown,Unknown,CPI, Communist Party Of India,Unknown,56502,0.157700002,Chattisgarh,01-01-1998,Loser,-94982
