Election_Id,Election_Type,Constituency,Candidate_Name,Gender,Age,Caste,Party,Party_Name,Symbol,Total_Votes,Percentage_Votes,State,Year,Result,Margin
L,Loksabha,Chandni Chowk,Harsh Vardhan, Male,64, GEN,BJP, Bharatiya Janata Party, lotus,519055,0.529200017,Delhi,01-01-2019,Winner,228145
L,Loksabha,Chandni Chowk,Jai Prakash Agarwal, Male,74, GEN,INC, Indian National Congress, hand,290910,0.296600014,Delhi,01-01-2019,Loser,-228145
L,Loksabha,Chandni Chowk,Pankaj Kumar Gupta, Male,52, GEN,AAAP, Aam Aadmi Party, broom,144551,0.147400007,Delhi,01-01-2019,Loser,-374504
L,Loksabha,Chandni Chowk,Shahid Ali, Male,46, GEN,BSP, Bahujan Samaj Party, elephant,9026,0.0092,Delhi,01-01-2019,Loser,-510029
L,Loksabha,Chandni Chowk,Nota,Unknown,Unknown,Unknown,NOTA, None Of The Above,Unknown,5133,0.0052,Delhi,01-01-2019,Loser,-513922
L,Loksabha,Chandni Chowk,Anil Kumar, Male,37, GEN,RRP, Rashtriya Rashtrawadi Party, air conditioner,1436,0.0015,Delhi,01-01-2019,Loser,-517619
L,Loksabha,Chandni Chowk,Mohd Irfan Javed Qureshi, Male,57, GEN,ESP, Ekta Samaj Party, ganna kisan,1270,0.0013,Delhi,01-01-2019,Loser,-517785
L,Loksabha,Chandni Chowk,Satdev Jain, Male,53, GEN,PBI," Proutist Bloc, India", flute,1215,0.0012,Delhi,01-01-2019,Loser,-517840
L,Loksabha,Chandni Chowk,Sharestha Arora, Female,42, GEN,MKDVP, Mazdoor Kirayedar Vikas Party, gas cylinder,1143,0.0012,Delhi,01-01-2019,Loser,-517912
L,Loksabha,Chandni Chowk,Virender Pratap Singh, Male,38, GEN,AAPP, Aapki Apni Party (peoples), battery torch,744,0.0008,Delhi,01-01-2019,Loser,-518311
L,Loksabha,Chandni Chowk,Pankaj Gupta, Male,57, GEN,IND, Independent, green chilli,670,0.0007,Delhi,01-01-2019,Loser,-518385
L,Loksabha,Chandni Chowk,Sohan Lal Sharma, Male,78, GEN,RaNP, Rashtra Nirman Party, pot,501,0.0005,Delhi,01-01-2019,Loser,-518554
L,Loksabha,Chandni Chowk,Vishal Khanna, Male,37, GEN,ssrd, Sanatan Sanskriti Raksha Dal, grapes,485,0.0005,Delhi,01-01-2019,Loser,-518570
L,Loksabha,Chandni Chowk,Richa Katiyar Kanaujia, Female,46, GEN,RTORP, Right To Recall Party, auto- rickshaw,475,0.0005,Delhi,01-01-2019,Loser,-518580
L,Loksabha,Chandni Chowk,Sameer Mirza, Male,29, GEN,BHAPRAP, Bharat Prabhat Party, ludo,424,0.0004,Delhi,01-01-2019,Loser,-518631
L,Loksabha,Chandni Chowk,Munna Lal, Male,37, SC,IND, Independent, hand cart,393,0.0004,Delhi,01-01-2019,Loser,-518662
L,Loksabha,Chandni Chowk,Ravindra, Male,43, GEN,KBD, Kanshiram Bahujan Dal, plastering trowel,369,0.0004,Delhi,01-01-2019,Loser,-518686
L,Loksabha,Chandni Chowk,Kamal Kishor, Male,67, GEN,PPID, Peoples Party Of India (democratic), basket containing fruits,332,0.0003,Delhi,01-01-2019,Loser,-518723
L,Loksabha,Chandni Chowk,Ravi Kumar, Male,33, SC,IND, Independent, baby walker,299,0.0003,Delhi,01-01-2019,Loser,-518756
L,Loksabha,Chandni Chowk,Ashok Kumar, Male,67, SC,RPI(A), Republican Party Of India (a), sewing machine,273,0.0003,Delhi,01-01-2019,Loser,-518782
L,Loksabha,Chandni Chowk,Jugal Kishor, Male,47, GEN,IND, Independent, telephone,268,0.0003,Delhi,01-01-2019,Loser,-518787
L,Loksabha,Chandni Chowk,Dheer Singh, Male,36, SC,RJBP, Rashtriya Jansambhavna Party, cauliflower,249,0.0003,Delhi,01-01-2019,Loser,-518806
L,Loksabha,Chandni Chowk,Saurabh Ranjan, Male,33, GEN,PPOI, Pyramid Party Of India, pineapple,243,0.0002,Delhi,01-01-2019,Loser,-518812
L,Loksabha,Chandni Chowk,Farha Deeba, Female,38, GEN,IND, Independent, apple,241,0.0002,Delhi,01-01-2019,Loser,-518814
L,Loksabha,Chandni Chowk,Suman Devi, Female,53, GEN,BLokSP, Bharat Lok Sewak Party, electric pole,236,0.0002,Delhi,01-01-2019,Loser,-518819
L,Loksabha,Chandni Chowk,Deepti Chopra, Female,52, GEN,PRISM, Prism, triangle,233,0.0002,Delhi,01-01-2019,Loser,-518822
L,Loksabha,Chandni Chowk,Inder Sen, Male,36, SC,RHSP, Rashtriya Samrasta Party, laptop,216,0.0002,Delhi,01-01-2019,Loser,-518839
L,Loksabha,Chandni Chowk,Dr Harsh Vardhan, Male,59, GEN,BJP, Bharatiya Janata Party, lotus,437938,0.302599996,Delhi,01-01-2014,Winner,136320
L,Loksabha,Chandni Chowk,Ashutosh, Male,48, GEN,AAAP, Aam Aadmi Party, broom,301618,0.208399996,Delhi,01-01-2014,Loser,-136320
L,Loksabha,Chandni Chowk,Kapil Sibal, Male,65, GEN,INC, Indian National Congress, hand,176206,0.121799998,Delhi,01-01-2014,Loser,-261732
L,Loksabha,Chandni Chowk,Dildar Hussain Beg, Male,44, GEN,IND, Independent, shuttle,28605,0.0198,Delhi,01-01-2014,Loser,-409333
L,Loksabha,Chandni Chowk,Narendra Kumar Pandey, Male,48, GEN,BSP, Bahujan Samaj Party, elephant,7746,0.0054,Delhi,01-01-2014,Loser,-430192
L,Loksabha,Chandni Chowk,None Of The Above,Unknown,Unknown,Unknown,NOTA, None Of The Above, nota,4534,0.0031,Delhi,01-01-2014,Loser,-433404
L,Loksabha,Chandni Chowk,Ashutosh, Male,38, GEN,IND, Independent, carrot,4505,0.0031,Delhi,01-01-2014,Loser,-433433
L,Loksabha,Chandni Chowk,Hariom Sharma, Male,49, GEN,AITC, All India Trinamool Congress, flowers and grass,3531,0.0024,Delhi,01-01-2014,Loser,-434407
L,Loksabha,Chandni Chowk,Sanjay Gandhi, Male,53, GEN,BRAVP, Braj Vikas Party, flute,3390,0.0023,Delhi,01-01-2014,Loser,-434548
L,Loksabha,Chandni Chowk,Vijay Shanker Chaubey, Male,42, GEN,IND, Independent, razor,1829,0.0013,Delhi,01-01-2014,Loser,-436109
L,Loksabha,Chandni Chowk,Abdul Amir Amiro, Male,44, GEN,IND, Independent, table lamp,1765,0.0012,Delhi,01-01-2014,Loser,-436173
L,Loksabha,Chandni Chowk,Ajay Kumar Khemka, Male,41, GEN,kajp, Kalyankari Jantantrik Party, school bag,1643,0.0011,Delhi,01-01-2014,Loser,-436295
L,Loksabha,Chandni Chowk,Jagmohan Singh Bakshi, Male,54, GEN,ATBP, Atulya Bharat Party, bat,1553,0.0011,Delhi,01-01-2014,Loser,-436385
L,Loksabha,Chandni Chowk,Gagan Rastogi, Male,30, GEN,IND, Independent, candles,1423,0.001,Delhi,01-01-2014,Loser,-436515
L,Loksabha,Chandni Chowk,Bir Singh Soni, Male,46, SC,IND, Independent, battery torch,881,0.0006,Delhi,01-01-2014,Loser,-437057
L,Loksabha,Chandni Chowk,Surender Singh, Male,42, GEN,IND, Independent, pen nib with seven rays,789,0.0005,Delhi,01-01-2014,Loser,-437149
L,Loksabha,Chandni Chowk,Balram Bari, Male,47, GEN,IND, Independent, cup & saucer,602,0.0004,Delhi,01-01-2014,Loser,-437336
L,Loksabha,Chandni Chowk,Musarrat Jahan, Female,49, GEN,RJ, Rashtriya Janmorcha, scissors,592,0.0004,Delhi,01-01-2014,Loser,-437346
L,Loksabha,Chandni Chowk,Mohd Mursaleen, Male,39, GEN,PECP, Peace Party, ceiling fan,538,0.0004,Delhi,01-01-2014,Loser,-437400
