Election_Id,Election_Type,Constituency,Candidate_Name,Gender,Age,Caste,Party,Party_Name,Symbol,Total_Votes,Percentage_Votes,State,Year,Result,Margin
L,Loksabha,North-goa,Shripad Yesso Naik, Male,66, GEN,BJP, Bharatiya Janata Party, lotus,244844,0.57069999,Goa,01-01-2019,Winner,80247
L,Loksabha,North-goa,Girish Raya Chodankar, Male,52, GEN,INC, Indian National Congress, hand,164597,0.383700013,Goa,01-01-2019,Loser,-80247
L,Loksabha,North-goa,Nota,Unknown,Unknown,Unknown,NOTA, None Of The Above,Unknown,7063,0.0165,Goa,01-01-2019,Loser,-237781
L,Loksabha,North-goa,Dattatraya Padgaonkar, Male,59, GEN,AAAP, Aam Aadmi Party, broom,4756,0.0111,Goa,01-01-2019,Loser,-240088
L,Loksabha,North-goa,Amit Atmaram Korgaonkar, Male,40, GEN,RPI(KM), Republican Party Of India (kamble), camera,2809,0.0065,Goa,01-01-2019,Loser,-242035
L,Loksabha,North-goa,Bhagawant Sadanand Kamat, Male,57, GEN,IND, Independent, ganna kisan,2432,0.0057,Goa,01-01-2019,Loser,-242412
L,Loksabha,North-goa,Aishwarya Arjun Salgaonkar, Female,40, GEN,IND, Independent, football,2127,0.005,Goa,01-01-2019,Loser,-242717
L,Loksabha,North-goa,Shripad Yesso Naik, Male,61, GEN,BJP, Bharatiya Janata Party, lotus,237903,0.461600006,Goa,01-01-2014,Winner,105599
L,Loksabha,North-goa,Ravi Naik, Male,67, GEN,INC, Indian National Congress, hand,132304,0.256700009,Goa,01-01-2014,Loser,-105599
L,Loksabha,North-goa,Dr Dattaram Desai, Male,61, GEN,AAAP, Aam Aadmi Party, broom,15857,0.0308,Goa,01-01-2014,Loser,-222046
L,Loksabha,North-goa,None Of The Above,Unknown,Unknown,Unknown,NOTA, None Of The Above, nota,5770,0.0112,Goa,01-01-2014,Loser,-232133
L,Loksabha,North-goa,Adv Suhas Naik, Male,47, GEN,CPI, Communist Party Of India, ears of corn and sickle,5640,0.0109,Goa,01-01-2014,Loser,-232263
L,Loksabha,North-goa,Dayanand G Narvekar, Male,64, GEN,IND, Independent, kite,4128,0.008,Goa,01-01-2014,Loser,-233775
L,Loksabha,North-goa,Raju Dsouza, Male,44, GEN,SJP(R), Samajwadi Janata Party (rashtriya), battery torch,3216,0.0062,Goa,01-01-2014,Loser,-234687
L,Loksabha,North-goa,Mittu Mujavar, Male,38, GEN,IND, Independent, candles,1813,0.0035,Goa,01-01-2014,Loser,-236090
L,Loksabha,North-goa,Shripad Yesso Naik, Male,56, GEN,BJP, Bharatiya Janata Party,Unknown,137716,0.282799989,Goa,01-01-2009,Winner,6353
L,Loksabha,North-goa,Jitendra Raghuraj Deshprabhu, Male,53, GEN,NCP, Nationalist Congress Party,Unknown,131363,0.269699991,Goa,01-01-2009,Loser,-6353
L,Loksabha,North-goa,Christopher Fonseca, Male,55, GEN,CPI, Communist Party Of India,Unknown,8646,0.0178,Goa,01-01-2009,Loser,-129070
L,Loksabha,North-goa,Raut Pandurang Dattaram, Male,62, GEN,MAG, Maharashtrawadi Gomantak,Unknown,6638,0.0136,Goa,01-01-2009,Loser,-131078
L,Loksabha,North-goa,Martha D' Souza, Female,55, GEN,IND, Independent,Unknown,3217,0.0066,Goa,01-01-2009,Loser,-134499
L,Loksabha,North-goa,Upendra Chandru Gaonkar, Male,48, GEN,SHS, Shivsena,Unknown,3186,0.0065,Goa,01-01-2009,Loser,-134530
L,Loksabha,North-goa,Narcinva Surya Salgaonkar, Male,51, GEN,IND, Independent,Unknown,1529,0.0031,Goa,01-01-2009,Loser,-136187
L,Loksabha,South-goa,Cosme Francisco Caitano Sardinha, Male,73, GEN,INC, Indian National Congress, hand,201561,0.474599987,Goa,01-01-2019,Winner,9755
L,Loksabha,South-goa,Adv Narendra Sawaikar, Male,52, GEN,BJP, Bharatiya Janata Party, lotus,191806,0.451599985,Goa,01-01-2019,Loser,-9755
L,Loksabha,South-goa,Elvis Gomes, Male,56, GEN,AAAP, Aam Aadmi Party, broom,20891,0.049199998,Goa,01-01-2019,Loser,-180670
L,Loksabha,South-goa,Nota,Unknown,Unknown,Unknown,NOTA, None Of The Above,Unknown,5436,0.0128,Goa,01-01-2019,Loser,-196125
L,Loksabha,South-goa,Rakhi Amit Naik, Female,34, GEN,SHS, Shivsena, bow & arrow,1763,0.0042,Goa,01-01-2019,Loser,-199798
L,Loksabha,South-goa,Mayur Khanconkar, Male,28, GEN,IND, Independent, football,1705,0.004,Goa,01-01-2019,Loser,-199856
L,Loksabha,South-goa,Dr Kalidas Prakash Vaingankar, Male,39, GEN,IND, Independent, ship,1413,0.0033,Goa,01-01-2019,Loser,-200148
L,Loksabha,South-goa,Adv Narendra Keshav Sawaikar, Male,47, GEN,BJP, Bharatiya Janata Party, lotus,198776,0.364499986,Goa,01-01-2014,Winner,32330
L,Loksabha,South-goa,Aleixo Reginaldo Lourenco, Male,45, GEN,INC, Indian National Congress, hand,166446,0.305200011,Goa,01-01-2014,Loser,-32330
L,Loksabha,South-goa,Churchill Alemao, Male,64, GEN,AITC, All India Trinamool Congress, flowers and grass,11941,0.0219,Goa,01-01-2014,Loser,-186835
L,Loksabha,South-goa,Swati S Kerkar, Female,39, GEN,AAAP, Aam Aadmi Party, broom,11246,0.0206,Goa,01-01-2014,Loser,-187530
L,Loksabha,South-goa,Govind Shepu Gaude, Male,42, GEN,IND, Independent, ceiling fan,7152,0.0131,Goa,01-01-2014,Loser,-191624
L,Loksabha,South-goa,Adv Raju Mangeshkar, Male,58, GEN,CPI, Communist Party Of India, ears of corn and sickle,4437,0.0081,Goa,01-01-2014,Loser,-194339
L,Loksabha,South-goa,None Of The Above,Unknown,Unknown,Unknown,NOTA, None Of The Above, nota,4333,0.0079,Goa,01-01-2014,Loser,-194443
L,Loksabha,South-goa,Shalom Mathew Francisco Sardinha, Male,33, GEN,IND, Independent, pen nib with seven rays,2586,0.0047,Goa,01-01-2014,Loser,-196190
L,Loksabha,South-goa,Venus Habib, Female,62, GEN,IND, Independent, sewing machine,790,0.0014,Goa,01-01-2014,Loser,-197986
L,Loksabha,South-goa,Savio Oliver Rodrigues, Male,37, GEN,GSRP, Goa Su-raj Party, candles,783,0.0014,Goa,01-01-2014,Loser,-197993
L,Loksabha,South-goa,Balkrishna Salgaonkar, Male,43, GEN,IND, Independent, bat,683,0.0013,Goa,01-01-2014,Loser,-198093
L,Loksabha,South-goa,Cliffton De Souza, Male,33, GEN,BMUP, Bahujan Mukti Party, cot,666,0.0012,Goa,01-01-2014,Loser,-198110
L,Loksabha,South-goa,Adv Jawahar Dias, Male,58, GEN,GOA, Goemcarancho Otrec Astro, ring,530,0.001,Goa,01-01-2014,Loser,-198246
L,Loksabha,South-goa,Cosme Francisco Caitano Sardinha, Male,62, GEN,INC, Indian National Congress,Unknown,127494,0.238800004,Goa,01-01-2009,Winner,12516
L,Loksabha,South-goa,Adv Narendra Keshav Sawaikar, Male,42, GEN,BJP, Bharatiya Janata Party,Unknown,114978,0.215399995,Goa,01-01-2009,Loser,-12516
L,Loksabha,South-goa,Matanhy Saldanha, Male,60, GEN,UGDP, United Goans Democratic Party,Unknown,16727,0.031300001,Goa,01-01-2009,Loser,-110767
L,Loksabha,South-goa,Adv Raju Mangeshkar Alias Rajendra Naik, Male,52, GEN,CPI, Communist Party Of India,Unknown,4563,0.0085,Goa,01-01-2009,Loser,-122931
L,Loksabha,South-goa,Hamza Khan, Male,57, GEN,IND, Independent,Unknown,2536,0.0048,Goa,01-01-2009,Loser,-124958
L,Loksabha,South-goa,Salunke Smita Praveen, Female,38, GEN,IND, Independent,Unknown,1771,0.0033,Goa,01-01-2009,Loser,-125723
L,Loksabha,South-goa,Rohidas Harichandra Borkar, Male,63, GEN,SGF, Save Goa Front,Unknown,1117,0.0021,Goa,01-01-2009,Loser,-126377
L,Loksabha,South-goa,Mulla Salim, Male,25, GEN,IND, Independent,Unknown,841,0.0016,Goa,01-01-2009,Loser,-126653
L,Loksabha,South-goa,Dias Jawahar, Male,53, GEN,IND, Independent,Unknown,706,0.0013,Goa,01-01-2009,Loser,-126788
L,Loksabha,South-goa,Derick Dias, Male,41, GEN,IND, Independent,Unknown,679,0.0013,Goa,01-01-2009,Loser,-126815
L,Loksabha,South-goa,Francisco Antonio Joao De Philomeno Fernandes, Male,66, GEN,IND, Independent,Unknown,548,0.001,Goa,01-01-2009,Loser,-126946
A,Assembly,aldona,Glenn Souza Ticlo,Male,54,GEN,BJP,Bharatiya Janata Party,Unknown,9405,43.93000031,Goa,01-01-2017,Winner,4456
A,Assembly,aldona,Amarnath Panjikar,Male,49,GEN,INC,Indian National Congress,Unknown,4949,23.12000084,Goa,01-01-2017,Loser,-4456
A,Assembly,aldona,Rosy Ursula D`souza,Female,49,GEN,AAAP,Aam Aadmi Party,Unknown,3272,15.27999973,Goa,01-01-2017,Loser,-6133
A,Assembly,aldona,Mahesh Vithu Satelkar,Male,38,GEN,MAG,Maharashtrawadi Gomantak,Unknown,3000,14.01000023,Goa,01-01-2017,Loser,-6405
A,Assembly,aldona,Anandrao Narayanrao Nagvenkar,Male,58,GEN,IND,Independent,Unknown,643,NULL,Goa,01-01-2017,Loser,-8762
A,Assembly,aldona,None Of The Above,Unknown,Unknown,Unknown,NOTA,None Of The Above,nota,196,0.920000017,Goa,01-01-2017,Loser,-9209
A,Assembly,aldona,Osbert D`cunha,Male,30,GEN,NCP,Nationalist Congress Party,Unknown,141,0.660000026,Goa,01-01-2017,Loser,-9264
A,Assembly,aldona,Ticlo Glenn J V A E Souza,Male,50,GEN,BJP,Bharatiya Janata Party,Unknown,11315,55.77000046,Goa,01-01-2012,Winner,3476
A,Assembly,aldona,Dayanand G Narvekar,Male,61,GEN,INC,Indian National Congress,Unknown,7839,38.63999939,Goa,01-01-2012,Loser,-3476
A,Assembly,aldona,Wilfred D'souza,Male,84,GEN,AITC,All India Trinamool Congress,Unknown,643,3.170000076,Goa,01-01-2012,Loser,-10672
A,Assembly,aldona,Ravindra Vasudev Panjikar,Male,57,GEN,IND,Independent,Unknown,256,1.25999999,Goa,01-01-2012,Loser,-11059
A,Assembly,aldona,Julius Pereira,Male,60,GEN,GSRP,Goa Su-raj Party,Unknown,236,1.159999967,Goa,01-01-2012,Loser,-11079
A,Assembly,aldona,Dayanand Ganesh Narvekar,Male,57,GEN,INC,Indian National Congress,Unknown,9251,NULL,Goa,01-01-2007,Winner,3034
A,Assembly,aldona,Kunda Chodankar,Female,46,GEN,BJP,Bharatiya Janata Party,Unknown,6217,NULL,Goa,01-01-2007,Loser,-3034
A,Assembly,aldona,Fermeena Khaunte,Female,56,GEN,IND,Independent,Unknown,5298,NULL,Goa,01-01-2007,Loser,-3953
A,Assembly,aldona,Floriano Conceicao Lobo,Male,59,GEN,GSRP,Goa Su-raj Party,Unknown,433,NULL,Goa,01-01-2007,Loser,-8818
A,Assembly,aldona,Salgaonkar Narcinva,Male,49,GEN,IND,Independent,Unknown,154,NULL,Goa,01-01-2007,Loser,-9097
A,Assembly,aldona,Nagvenkar Anandrao Narayanrao,Male,49,GEN,IND,Independent,Unknown,144,NULL,Goa,01-01-2007,Loser,-9107
A,Assembly,aldona,Vishwanath Rohidas Halarnkar,Male,59,GEN,JD(S),Janata Dal (secular),Unknown,103,NULL,Goa,01-01-2007,Loser,-9148
A,Assembly,aldona,Vasudev Keshav Halarnkar,Male,31,GEN,MAG,Maharashtrawadi Gomantak,Unknown,97,NULL,Goa,01-01-2007,Loser,-9154
A,Assembly,aldona,Narvekar Umesh Suka,Male,46,GEN,IND,Independent,Unknown,57,NULL,Goa,01-01-2007,Loser,-9194
A,Assembly,aldona,Narvekar Dayanand Ganesh,Male,Unknown,Unknown,INC,Indian National Congress,Unknown,9957,50.72999954,Goa,01-01-2002,Winner,2013
A,Assembly,aldona,Asnodkar Ulhas Gopal,Male,Unknown,Unknown,BJP,Bharatiya Janata Party,Unknown,7944,40.47999954,Goa,01-01-2002,Loser,-2013
A,Assembly,aldona,Fernandes Joao Rosario Joaquim,Male,Unknown,Unknown,NCP,Nationalist Congress Party,Unknown,1116,5.690000057,Goa,01-01-2002,Loser,-8841
A,Assembly,aldona,Fernandes Gerald John,Male,Unknown,Unknown,GSRP,Goa Su-raj Party,Unknown,368,1.879999995,Goa,01-01-2002,Loser,-9589
