Election_Id,Election_Type,Constituency,Candidate_Name,Gender,Age,Caste,Party,Party_Name,Symbol,Total_Votes,Percentage_Votes,State,Year,Result,Margin
L,Loksabha,bharuch,Mansukhbhai Dhanjibhai Vasava,Male,61,ST,BJP,Bharatiya Janata Party,lotus,637795,0.55430001,Gujarath,01-01-2019,Winner,334214
L,Loksabha,bharuch,Sherkhan Abdulsakur Pathan,Male,37,GEN,INC,Indian National Congress,hand,303581,0.263799995,Gujarath,01-01-2019,Loser,-334214
L,Loksabha,bharuch,Chhotubhai Amarsinh Vasava,Male,73,ST,BTP,Bhartiya Tribal Party,auto- rickshaw,144083,0.125200003,Gujarath,01-01-2019,Loser,-493712
L,Loksabha,bharuch,Sindha Kiritsinh Alias Jalamsinh Nathubava,Male,40,GEN,IND,Independent,air conditioner,15110,0.0131,Gujarath,01-01-2019,Loser,-622685
L,Loksabha,bharuch,Vasava Navinbhai Himmatbhai,Male,56,ST,IND,Independent,computer,8155,0.0071,Gujarath,01-01-2019,Loser,-629640
L,Loksabha,bharuch,Solanki Rajeshbhai Lallubhai,Male,37,SC,IND,Independent,cup & saucer,8038,0.007,Gujarath,01-01-2019,Loser,-629757
L,Loksabha,bharuch,Nota,Unknown,Unknown,Unknown,NOTA,None Of The Above,Unknown,6321,0.0055,Gujarath,01-01-2019,Loser,-631474
L,Loksabha,bharuch,Vasava Rajeshbhai Chimanbhai,Male,37,ST,BSP,Bahujan Samaj Party,elephant,6235,0.0054,Gujarath,01-01-2019,Loser,-631560
L,Loksabha,bharuch,Vikramsinh Dalsukhbhai Gohil,Male,37,GEN,IND,Independent,battery torch,3833,0.0033,Gujarath,01-01-2019,Loser,-633962
L,Loksabha,bharuch,Sapa Rafikbhai Sulemanbhai,Male,51,GEN,IND,Independent,bat,3829,0.0033,Gujarath,01-01-2019,Loser,-633966
L,Loksabha,bharuch,Ashokchandra Bhikhubhai Parmar,Male,58,SC,IND,Independent,tractor chalata kisan,2851,0.0025,Gujarath,01-01-2019,Loser,-634944
L,Loksabha,bharuch,Pathan Salimkhan Sadikkhan,Male,32,GEN,SANVP,Sanyukt Vikas Party,harmonium,2135,0.0019,Gujarath,01-01-2019,Loser,-635660
L,Loksabha,bharuch,Mukhtiyar Abdulrahim Shaikh (bansimama),Male,57,GEN,IND,Independent,batsman,2067,0.0018,Gujarath,01-01-2019,Loser,-635728
L,Loksabha,bharuch,Patel Imran Umarjibhai,Male,35,GEN,IND,Independent,ludo,1510,0.0013,Gujarath,01-01-2019,Loser,-636285
L,Loksabha,bharuch,Jitendra Parmar (jitu Chowkidar),Male,56,GEN,IND,Independent,gas cylinder,1327,0.0012,Gujarath,01-01-2019,Loser,-636468
L,Loksabha,bharuch,Sukhdev Bhikhabhai Vasava,Male,37,ST,BMUP,Bahujan Mukti Party,cot,1221,0.0011,Gujarath,01-01-2019,Loser,-636574
L,Loksabha,bharuch,Sabbirbhai Musabhai Patel,Male,64,GEN,ADPT,Apna Desh Party,balloon,826,0.0007,Gujarath,01-01-2019,Loser,-636969
L,Loksabha,bharuch,Vashi Narendrasinh Randhirsinh,Male,47,GEN,YJJP,Yuva Jan Jagriti Party,pendulum,808,0.0007,Gujarath,01-01-2019,Loser,-636987
L,Loksabha,bharuch,Vasava Mansukhbhai Dhanjibhai,Male,56,ST,BJP,Bharatiya Janata Party,lotus,548902,0.387199998,Gujarath,01-01-2014,Winner,153273
L,Loksabha,bharuch,Patel Jayeshbhai Ambalalbhai (jayesh Kaka),Male,57,GEN,INC,Indian National Congress,hand,395629,0.279100001,Gujarath,01-01-2014,Loser,-153273
L,Loksabha,bharuch,Anilkumar Chhitubhai Bhagat,Male,49,ST,JD(U),Janata Dal (united),arrow,49289,0.0348,Gujarath,01-01-2014,Loser,-499613
L,Loksabha,bharuch,None Of The Above,Unknown,Unknown,Unknown,NOTA,None Of The Above,nota,23615,0.0167,Gujarath,01-01-2014,Loser,-525287
L,Loksabha,bharuch,Sindhi Mayyudeen Umarbhai,Male,54,GEN,IND,Independent,hockey & ball,9862,0.007,Gujarath,01-01-2014,Loser,-539040
L,Loksabha,bharuch,Sukhramsingh,Male,74,ST,BSP,Bahujan Samaj Party,elephant,7275,0.0051,Gujarath,01-01-2014,Loser,-541627
L,Loksabha,bharuch,Shaileshkumar Maganbhai Parmar,Male,32,SC,IND,Independent,coconut,5125,0.0036,Gujarath,01-01-2014,Loser,-543777
L,Loksabha,bharuch,Jayendrasinh Rana,Male,45,GEN,AAAP,Aam Aadmi Party,broom,4818,0.0034,Gujarath,01-01-2014,Loser,-544084
L,Loksabha,bharuch,Virsangbhai Parbatbhai Gohil,Male,49,GEN,IND,Independent,pot,3353,0.0024,Gujarath,01-01-2014,Loser,-545549
L,Loksabha,bharuch,Bhura Shabbirbhai Valibhai,Male,56,GEN,IND,Independent,auto- rickshaw,2694,0.0019,Gujarath,01-01-2014,Loser,-546208
L,Loksabha,bharuch,Nitin Ishwarlal Vakil (advocate),Male,43,SC,IND,Independent,kite,2661,0.0019,Gujarath,01-01-2014,Loser,-546241
L,Loksabha,bharuch,Rafikbhai Suleman Sapa,Male,51,GEN,IND,Independent,television,2644,0.0019,Gujarath,01-01-2014,Loser,-546258
L,Loksabha,bharuch,Anandkumar Sarvarsinh Vasava,Male,32,ST,IND,Independent,cup & saucer,1855,0.0013,Gujarath,01-01-2014,Loser,-547047
L,Loksabha,bharuch,Saiyad Mohsin Bapu Nanumiyawala,Male,53,GEN,BMUP,Bahujan Mukti Party,cot,1406,0.001,Gujarath,01-01-2014,Loser,-547496
L,Loksabha,bharuch,Sayyed Asif Zafar Ali,Male,29,GEN,ADPT,Apna Desh Party,gas cylinder,1083,0.0008,Gujarath,01-01-2014,Loser,-547819
L,Loksabha,bharuch,Mansukhbhai Dhanjibhai Vasava,Male,52,GEN,BJP,Bharatiya Janata Party,Unknown,311019,0.237100005,Gujarath,01-01-2009,Winner,27232
L,Loksabha,bharuch,Umerji Ahmed Ugharatdar (aziz Tankarvi),Male,64,GEN,INC,Indian National Congress,Unknown,283787,0.216399997,Gujarath,01-01-2009,Loser,-27232
L,Loksabha,bharuch,Vasava Chhotubhai Amarsinhbhai,Male,62,ST,JD(U),Janata Dal (united),Unknown,63661,0.048500001,Gujarath,01-01-2009,Loser,-247358
L,Loksabha,bharuch,Lad Mahipatbhai Maganbhai,Male,52,GEN,IND,Independent,Unknown,28030,0.021400001,Gujarath,01-01-2009,Loser,-282989
L,Loksabha,bharuch,Kanaksinh Mangrola,Male,58,GEN,SP,Samajwadi Party,Unknown,16517,0.0126,Gujarath,01-01-2009,Loser,-294502
L,Loksabha,bharuch,Patel Thakorbhai Chandulal,Male,58,GEN,IND,Independent,Unknown,7758,0.0059,Gujarath,01-01-2009,Loser,-303261
L,Loksabha,bharuch,Lakdawala Shakil Ahemad,Male,43,GEN,IND,Independent,Unknown,7441,0.0057,Gujarath,01-01-2009,Loser,-303578
L,Loksabha,bharuch,Pandey Sanatkumar Rajaram,Male,32,GEN,BSP,Bahujan Samaj Party,Unknown,6192,0.0047,Gujarath,01-01-2009,Loser,-304827
L,Loksabha,bharuch,Dilipkumar Gulsingbhai Vasava,Male,32,ST,IND,Independent,Unknown,5350,0.0041,Gujarath,01-01-2009,Loser,-305669
L,Loksabha,bharuch,Balvantsinh Vijaysinh Parmar,Male,53,GEN,NCP,Nationalist Congress Party,Unknown,4526,0.0035,Gujarath,01-01-2009,Loser,-306493
L,Loksabha,bharuch,Patel Nareshkumar Bhagvanbhai (naresh Patel),Male,48,GEN,MJP,Mahagujarat Janta Party,Unknown,4160,0.0032,Gujarath,01-01-2009,Loser,-306859
