Election_Id,Election_Type,Constituency,Candidate_Name,Gender,Age,Caste,Party,Party_Name,Symbol,Total_Votes,Percentage_Votes,State,Year,Result,Margin
L,Loksabha,Faridabad,Tayub Hussain, Male,Unknown,Unknown,IND, Independent,Unknown,2460,0.003,Haryana,01-01-1996,Loser,-289834
L,Loksabha,Faridabad,Prem Chand Premi, Male,Unknown,Unknown,IND, Independent,Unknown,2399,0.0029,Haryana,01-01-1996,Loser,-289895
L,Loksabha,Faridabad,Banwari Lal, Male,Unknown,Unknown,JP, Janata Party,Unknown,2316,0.0028,Haryana,01-01-1996,Loser,-289978
L,Loksabha,Faridabad,Ajmat Khan, Male,Unknown,Unknown,IND, Independent,Unknown,2098,0.0026,Haryana,01-01-1996,Loser,-290196
L,Loksabha,Faridabad,Jakir Hussain, Male,Unknown,Unknown,IND, Independent,Unknown,2044,0.0025,Haryana,01-01-1996,Loser,-290250
L,Loksabha,Faridabad,Shibbu, Male,Unknown,Unknown,IND, Independent,Unknown,1865,0.0023,Haryana,01-01-1996,Loser,-290429
L,Loksabha,Faridabad,Mamender Kumar, Male,Unknown,Unknown,IND, Independent,Unknown,1581,0.0019,Haryana,01-01-1996,Loser,-290713
L,Loksabha,Faridabad,Khem Chand, Male,Unknown,Unknown,IND, Independent,Unknown,1527,0.0019,Haryana,01-01-1996,Loser,-290767
L,Loksabha,Faridabad,Abdul Hamid, Male,Unknown,Unknown,IND, Independent,Unknown,1303,0.0016,Haryana,01-01-1996,Loser,-290991
L,Loksabha,Faridabad,Satbir Rawat, Male,Unknown,Unknown,IND, Independent,Unknown,1111,0.0014,Haryana,01-01-1996,Loser,-291183
L,Loksabha,Faridabad,Kamal Singh, Male,Unknown,Unknown,IND, Independent,Unknown,1107,0.0014,Haryana,01-01-1996,Loser,-291187
L,Loksabha,Faridabad,Jhangi Ram, Male,Unknown,Unknown,IND, Independent,Unknown,969,0.0012,Haryana,01-01-1996,Loser,-291325
L,Loksabha,Faridabad,Mukhi Bhim Sain, Male,Unknown,Unknown,IND, Independent,Unknown,882,0.0011,Haryana,01-01-1996,Loser,-291412
L,Loksabha,Faridabad,Rajesh Khurana, Male,Unknown,Unknown,IND, Independent,Unknown,874,0.0011,Haryana,01-01-1996,Loser,-291420
L,Loksabha,Faridabad,Mohammed Ajaz Khan, Male,Unknown,Unknown,IND, Independent,Unknown,808,0.001,Haryana,01-01-1996,Loser,-291486
L,Loksabha,Faridabad,Kasham, Male,Unknown,Unknown,IND, Independent,Unknown,799,0.001,Haryana,01-01-1996,Loser,-291495
L,Loksabha,Faridabad,Braham Pal Bhadana, Male,Unknown,Unknown,IND, Independent,Unknown,796,0.001,Haryana,01-01-1996,Loser,-291498
L,Loksabha,Faridabad,Rishi Pal, Male,Unknown,Unknown,IND, Independent,Unknown,794,0.001,Haryana,01-01-1996,Loser,-291500
L,Loksabha,Faridabad,Ashwani, Male,Unknown,Unknown,IND, Independent,Unknown,691,0.0008,Haryana,01-01-1996,Loser,-291603
L,Loksabha,Faridabad,Rati Ram S/o Siya, Male,Unknown,Unknown,IND, Independent,Unknown,668,0.0008,Haryana,01-01-1996,Loser,-291626
L,Loksabha,Faridabad,Santosh, Female,Unknown,Unknown,IND, Independent,Unknown,645,0.0008,Haryana,01-01-1996,Loser,-291649
L,Loksabha,Faridabad,Iqbal, Male,Unknown,Unknown,IND, Independent,Unknown,639,0.0008,Haryana,01-01-1996,Loser,-291655
L,Loksabha,Faridabad,Umar Mohammed, Male,Unknown,Unknown,IND, Independent,Unknown,604,0.0007,Haryana,01-01-1996,Loser,-291690
L,Loksabha,Faridabad,Kabir Ahmed, Male,Unknown,Unknown,IND, Independent,Unknown,554,0.0007,Haryana,01-01-1996,Loser,-291740
L,Loksabha,Faridabad,N M Lal, Male,Unknown,Unknown,IND, Independent,Unknown,476,0.0006,Haryana,01-01-1996,Loser,-291818
L,Loksabha,Faridabad,Iqbal Jeet Singh, Male,Unknown,Unknown,IND, Independent,Unknown,466,0.0006,Haryana,01-01-1996,Loser,-291828
L,Loksabha,Faridabad,Zan Mohammed, Male,Unknown,Unknown,IND, Independent,Unknown,457,0.0006,Haryana,01-01-1996,Loser,-291837
L,Loksabha,Faridabad,Avtar Singh Bhadana, Male,Unknown,Unknown,INC, Indian National Congress,Unknown,268965,0.388399988,Haryana,01-01-1991,Winner,51522
L,Loksabha,Faridabad,Khurshid Ahmed, Male,Unknown,Unknown,JD, Janata Dal,Unknown,217443,0.31400001,Haryana,01-01-1991,Loser,-51522
L,Loksabha,Faridabad,Brahma Singh Tanwar, Male,Unknown,Unknown,BJP, Bharatiya Janata Party,Unknown,103403,0.149299994,Haryana,01-01-1991,Loser,-165562
L,Loksabha,Faridabad,Cheti Lal Verma, Male,Unknown,Unknown,JP, Janata Party,Unknown,70972,0.102499999,Haryana,01-01-1991,Loser,-197993
L,Loksabha,Faridabad,Ved Narayan Tripathi, Male,Unknown,Unknown,IND, Independent,Unknown,10278,0.0148,Haryana,01-01-1991,Loser,-258687
L,Loksabha,Faridabad,Banwari Lal, Male,Unknown,Unknown,LKD, Lok Dal,Unknown,4297,0.0062,Haryana,01-01-1991,Loser,-264668
L,Loksabha,Faridabad,Jagdish, Male,Unknown,Unknown,IND, Independent,Unknown,3224,0.0047,Haryana,01-01-1991,Loser,-265741
L,Loksabha,Faridabad,Ayub Khan Peer Jada, Male,Unknown,Unknown,IND, Independent,Unknown,1896,0.0027,Haryana,01-01-1991,Loser,-267069
L,Loksabha,Faridabad,Om Parkash, Male,Unknown,Unknown,IND, Independent,Unknown,1745,0.0025,Haryana,01-01-1991,Loser,-267220
L,Loksabha,Faridabad,Majid, Male,Unknown,Unknown,IND, Independent,Unknown,1487,0.0021,Haryana,01-01-1991,Loser,-267478
L,Loksabha,Faridabad,Maulana Sher Mohammed, Male,Unknown,Unknown,IND, Independent,Unknown,1356,0.002,Haryana,01-01-1991,Loser,-267609
L,Loksabha,Faridabad,M S Rakesh, Male,Unknown,Unknown,DDP, Door Darshi Party,Unknown,1226,0.0018,Haryana,01-01-1991,Loser,-267739
L,Loksabha,Faridabad,Giyan Chand Bhadana, Male,Unknown,Unknown,IND, Independent,Unknown,1136,0.0016,Haryana,01-01-1991,Loser,-267829
L,Loksabha,Faridabad,Vijender, Male,Unknown,Unknown,HMS, Akhil Bharat Hindu Mahasabha,Unknown,1053,0.0015,Haryana,01-01-1991,Loser,-267912
L,Loksabha,Faridabad,Hakimuddin, Male,Unknown,Unknown,IND, Independent,Unknown,840,0.0012,Haryana,01-01-1991,Loser,-268125
L,Loksabha,Faridabad,Arjun, Male,Unknown,Unknown,IND, Independent,Unknown,784,0.0011,Haryana,01-01-1991,Loser,-268181
L,Loksabha,Faridabad,Phool Chand Aggarwal, Male,Unknown,Unknown,IND, Independent,Unknown,711,0.001,Haryana,01-01-1991,Loser,-268254
L,Loksabha,Faridabad,Jhangi Ram, Male,Unknown,Unknown,IND, Independent,Unknown,509,0.0007,Haryana,01-01-1991,Loser,-268456
L,Loksabha,Faridabad,Nawal Dagar, Male,Unknown,Unknown,IND, Independent,Unknown,371,0.0005,Haryana,01-01-1991,Loser,-268594
L,Loksabha,Faridabad,Prem Chand Arya, Male,Unknown,Unknown,IND, Independent,Unknown,317,0.0005,Haryana,01-01-1991,Loser,-268648
L,Loksabha,Faridabad,Prem Chand Premi, Male,Unknown,Unknown,IND, Independent,Unknown,183,0.0003,Haryana,01-01-1991,Loser,-268782
L,Loksabha,Faridabad,Shree Chand Gupta, Male,Unknown,Unknown,IND, Independent,Unknown,153,0.0002,Haryana,01-01-1991,Loser,-268812
L,Loksabha,Faridabad,Dhansi Ram Garg, Male,Unknown,Unknown,IND, Independent,Unknown,118,0.0002,Haryana,01-01-1991,Loser,-268847
L,Loksabha,Faridabad,Bhajan Lal, Male,Unknown,Unknown,INC, Indian National Congress,Unknown,404646,0.578100026,Haryana,01-01-1989,Winner,131227
L,Loksabha,Faridabad,Khursid Ahmad Chaudhry, Male,Unknown,Unknown,JD, Janata Dal,Unknown,273419,0.390599996,Haryana,01-01-1989,Loser,-131227
L,Loksabha,Faridabad,Shiv Narian, Male,Unknown,Unknown,BSP, Bahujan Samaj Party,Unknown,6723,0.0096,Haryana,01-01-1989,Loser,-397923
L,Loksabha,Faridabad,Raj Singh, Male,Unknown,Unknown,IND, Independent,Unknown,4301,0.0061,Haryana,01-01-1989,Loser,-400345
L,Loksabha,Faridabad,Phool Singh, Male,Unknown,Unknown,IND, Independent,Unknown,2472,0.0035,Haryana,01-01-1989,Loser,-402174
L,Loksabha,Faridabad,Mani Ram Sharma, Male,Unknown,Unknown,IND, Independent,Unknown,1059,0.0015,Haryana,01-01-1989,Loser,-403587
L,Loksabha,Faridabad,Ram Iqbal Parsad, Male,Unknown,Unknown,DDP, Doordarshi Party,Unknown,1045,0.0015,Haryana,01-01-1989,Loser,-403601
L,Loksabha,Faridabad,Jai Pal Singh, Male,Unknown,Unknown,IND, Independent,Unknown,1001,0.0014,Haryana,01-01-1989,Loser,-403645
L,Loksabha,Faridabad,Kanwal Singh, Male,Unknown,Unknown,PDL, Pandav Dal,Unknown,918,0.0013,Haryana,01-01-1989,Loser,-403728
L,Loksabha,Faridabad,Phool Chand Aggarwal, Male,Unknown,Unknown,IND, Independent,Unknown,700,0.001,Haryana,01-01-1989,Loser,-403946
L,Loksabha,Faridabad,Mir Singh, Male,Unknown,Unknown,IND, Independent,Unknown,665,0.001,Haryana,01-01-1989,Loser,-403981
L,Loksabha,Faridabad,Nihal, Male,Unknown,Unknown,LKD, (b) Lok Dal (bahuguna),Unknown,654,0.0009,Haryana,01-01-1989,Loser,-403992
L,Loksabha,Faridabad,Aditya Vesh, Male,Unknown,Unknown,IND, Independent,Unknown,623,0.0009,Haryana,01-01-1989,Loser,-404023
L,Loksabha,Faridabad,Dayala, Male,Unknown,Unknown,IND, Independent,Unknown,419,0.0006,Haryana,01-01-1989,Loser,-404227
L,Loksabha,Faridabad,Anil Kumar Gupta, Male,Unknown,Unknown,IND, Independent,Unknown,416,0.0006,Haryana,01-01-1989,Loser,-404230
L,Loksabha,Faridabad,V J Dayal, Male,Unknown,Unknown,IND, Independent,Unknown,323,0.0005,Haryana,01-01-1989,Loser,-404323
L,Loksabha,Faridabad,Prehlad Singh, Male,Unknown,Unknown,IND, Independent,Unknown,308,0.0004,Haryana,01-01-1989,Loser,-404338
L,Loksabha,Faridabad,Ramji Lal, Male,Unknown,Unknown,IND, Independent,Unknown,240,0.0003,Haryana,01-01-1989,Loser,-404406
