Election_Id,Election_Type,Constituency,Candidate_Name,Gender,Age,Caste,Party,Party_Name,Symbol,Total_Votes,Percentage_Votes,State,Year,Result,Margin
L,Loksabha,Hamirpur,Anurag Singh Thakur, Male,44, GEN,BJP, Bharatiya Janata Party, lotus,682692,0.68809998,Himachal Pradesh,01-01-2019,Winner,107570
L,Loksabha,Hamirpur,Ram Lal Thakur, Male,68, GEN,INC, Indian National Congress, hand,283120,0.285400003,Himachal Pradesh,01-01-2019,Loser,-399572
L,Loksabha,Hamirpur,Nota,Unknown,Unknown,Unknown,NOTA, None Of The Above,Unknown,8026,0.0081,Himachal Pradesh,01-01-2019,Loser,-674666
L,Loksabha,Hamirpur,Desh Raj, Male,40, SC,BSP, Bahujan Samaj Party, elephant,7095,0.0072,Himachal Pradesh,01-01-2019,Loser,-675597
L,Loksabha,Hamirpur,Krishan Gopal, Male,28, GEN,SatBP, Satya Bahumat Party, black board,2319,0.0023,Himachal Pradesh,01-01-2019,Loser,-680373
L,Loksabha,Hamirpur,Radha Krishan Narotra, Male,64, SC,IND, Independent, helicopter,1420,0.0014,Himachal Pradesh,01-01-2019,Loser,-681272
L,Loksabha,Hamirpur,Vikash Kumar, Male,30, GEN,IND, Independent, computer,1404,0.0014,Himachal Pradesh,01-01-2019,Loser,-681288
L,Loksabha,Hamirpur,Tulsi Ram Sharma, Male,73, GEN,AIFB, All India Forward Bloc, lion,775,0.0008,Himachal Pradesh,01-01-2019,Loser,-681917
L,Loksabha,Hamirpur,Parveen Thakur, Male,52, GEN,IND, Independent, camera,699,0.0007,Himachal Pradesh,01-01-2019,Loser,-681993
L,Loksabha,Hamirpur,Ram Singh Shukla, Male,66, SC,BMUP, Bahujan Mukti Party, cot,473,0.0005,Himachal Pradesh,01-01-2019,Loser,-682219
L,Loksabha,Hamirpur,Ashok Sharma, Male,55, GEN,IND, Independent, football,412,0.0004,Himachal Pradesh,01-01-2019,Loser,-682280
L,Loksabha,Hamirpur,Ashish Kumar, Male,38, GEN,IND, Independent, bead necklace,330,0.0003,Himachal Pradesh,01-01-2019,Loser,-682362
L,Loksabha,Hamirpur,Anurag Singh Thakur, Male,39, GEN,BJP, Bharatiya Janata Party, lotus,448035,0.359100014,Himachal Pradesh,01-01-2014,Winner,-5849
L,Loksabha,Hamirpur,Rajinder Singh Rana, Male,48, GEN,INC, Indian National Congress, hand,349632,0.280200005,Himachal Pradesh,01-01-2014,Loser,-104252
L,Loksabha,Hamirpur,Kamal Kanta Batra, Female,69, GEN,AAAP, Aam Aadmi Party, broom,15329,0.0123,Himachal Pradesh,01-01-2014,Loser,-438555
L,Loksabha,Hamirpur,None Of The Above,Unknown,Unknown,Unknown,NOTA, None Of The Above, nota,6473,0.0052,Himachal Pradesh,01-01-2014,Loser,-447411
L,Loksabha,Hamirpur,Rakesh Choudhary, Male,38, GEN,BSP, Bahujan Samaj Party, elephant,5827,0.0047,Himachal Pradesh,01-01-2014,Loser,-448057
L,Loksabha,Hamirpur,Rajinder Singh Rana, Male,47, GEN,IND, Independent, sewing machine,3687,0.003,Himachal Pradesh,01-01-2014,Loser,-450197
L,Loksabha,Hamirpur,Urmila Sharma, Female,58, GEN,SP, Samajwadi Party, bicycle,2328,0.0019,Himachal Pradesh,01-01-2014,Loser,-451556
L,Loksabha,Hamirpur,Dev Raj Bhardwaj, Male,61, GEN,IND, Independent, coconut,1692,0.0014,Himachal Pradesh,01-01-2014,Loser,-452192
L,Loksabha,Hamirpur,Shiv Dutt Vasisht, Male,61, GEN,SHS, Shivsena, bow & arrow,952,0.0008,Himachal Pradesh,01-01-2014,Loser,-452932
L,Loksabha,Hamirpur,Amin Chand, Male,55, SC,IND, Independent, telephone,647,0.0005,Himachal Pradesh,01-01-2014,Loser,-453237
L,Loksabha,Hamirpur,Ashish Kumar, Male,34, GEN,IND, Independent, almirah,603,0.0005,Himachal Pradesh,01-01-2014,Loser,-453281
L,Loksabha,Hamirpur,Anurag Singh Thakur, Male,34, GEN,BJP, Bharatiya Janata Party,Unknown,373598,0.314599991,Himachal Pradesh,01-01-2009,Winner,72732
L,Loksabha,Hamirpur,Narinder Thakur, Male,51, GEN,INC, Indian National Congress,Unknown,300866,0.253399998,Himachal Pradesh,01-01-2009,Loser,-72732
L,Loksabha,Hamirpur,Mangat Ram Sharma, Male,44, GEN,BSP, Bahujan Samaj Party,Unknown,11774,0.0099,Himachal Pradesh,01-01-2009,Loser,-361824
L,Loksabha,Hamirpur,Er Sandeep Sharma, Male,37, GEN,IND, Independent,Unknown,6225,0.0052,Himachal Pradesh,01-01-2009,Loser,-367373
L,Loksabha,Hamirpur,Dr Rajender Sharma, Male,64, GEN,IND, Independent,Unknown,2607,0.0022,Himachal Pradesh,01-01-2009,Loser,-370991
L,Loksabha,Hamirpur,Pankaj Katna, Male,31, GEN,SHS, Shivsena,Unknown,1286,0.0011,Himachal Pradesh,01-01-2009,Loser,-372312
L,Loksabha,Hamirpur,Raj Kumar, Male,44, GEN,RWS, Rashtrawadi Sena,Unknown,1216,0.001,Himachal Pradesh,01-01-2009,Loser,-372382
L,Loksabha,Hamirpur,Malkiat Singh, Male,54, GEN,RRD, Rashtriya Raksha Dal,Unknown,1167,0.001,Himachal Pradesh,01-01-2009,Loser,-372431
