Election_Id,Election_Type,Constituency,Candidate_Name,Gender,Age,Caste,Party,Party_Name,Symbol,Total_Votes,Percentage_Votes,State,Year,Result,Margin
L,Loksabha,Anantnag,Hasnain Masoodi, Male,65, GEN,JKN, Jammu & Kashmir National Conference, plough,40180,0.320199996,Jammu & Kashmir,01-01-2019,Winner,6676
L,Loksabha,Anantnag,Ghulam Ahmad Mir, Male,60, GEN,INC, Indian National Congress, hand,33504,0.26699999,Jammu & Kashmir,01-01-2019,Loser,-6676
L,Loksabha,Anantnag,Mehbooba Mufti, Female,59, GEN,JKPDP, Jammu & Kashmir Peoples Democratic Party, ink pot & pen,30524,0.243300006,Jammu & Kashmir,01-01-2019,Loser,-9656
L,Loksabha,Anantnag,Sofi Yousuf, Male,53, GEN,BJP, Bharatiya Janata Party, lotus,10225,0.081500001,Jammu & Kashmir,01-01-2019,Loser,-29955
L,Loksabha,Anantnag,Ch Zaffar Ali, Male,60, ST,JPC, Jammu & Kashmir People Conference, apple,1646,0.0131,Jammu & Kashmir,01-01-2019,Loser,-38534
L,Loksabha,Anantnag,Gh Mohd Wani, Male,45, GEN,IND, Independent, table,1369,0.0109,Jammu & Kashmir,01-01-2019,Loser,-38811
L,Loksabha,Anantnag,Nota,Unknown,Unknown,Unknown,NOTA, None Of The Above,Unknown,937,0.0075,Jammu & Kashmir,01-01-2019,Loser,-39243
L,Loksabha,Anantnag,Kyasir Ahmad Sheikh, Male,31, GEN,IND, Independent, bat,847,0.0068,Jammu & Kashmir,01-01-2019,Loser,-39333
L,Loksabha,Anantnag,Ali Mohammad Wani, Male,48, GEN,IND, Independent, helicopter,814,0.0065,Jammu & Kashmir,01-01-2019,Loser,-39366
L,Loksabha,Anantnag,Shams Khwaja, Male,58, GEN,IND, Independent, green chilli,760,0.0061,Jammu & Kashmir,01-01-2019,Loser,-39420
L,Loksabha,Anantnag,Sanjay Kumar Dhar, Male,51, GEN,MaNPa, Manvadhikar National Party, tooth brush,677,0.0054,Jammu & Kashmir,01-01-2019,Loser,-39503
L,Loksabha,Anantnag,Manzoor Ahmad Khan, Male,47, GEN,IND, Independent, pen stand,604,0.0048,Jammu & Kashmir,01-01-2019,Loser,-39576
L,Loksabha,Anantnag,Nisar Ahmad Wani, Male,36, GEN,JKNPP, Jammu & Kashmir National Panthers Party, bicycle,589,0.0047,Jammu & Kashmir,01-01-2019,Loser,-39591
L,Loksabha,Anantnag,Zubair Masoodi, Male,38, GEN,IND, Independent, gas cylinder,547,0.0044,Jammu & Kashmir,01-01-2019,Loser,-39633
L,Loksabha,Anantnag,Ridwana Sanam, Female,39, GEN,IND, Independent, diamond,455,0.0036,Jammu & Kashmir,01-01-2019,Loser,-39725
L,Loksabha,Anantnag,Mirza Sajad Hussain Beigh, Male,36, GEN,IND, Independent, tractor chalata kisan,425,0.0034,Jammu & Kashmir,01-01-2019,Loser,-39755
L,Loksabha,Anantnag,Imtiyaz Ahmad Rather, Male,47, GEN,IND, Independent, ganna kisan,382,0.003,Jammu & Kashmir,01-01-2019,Loser,-39798
