Election_Id,Election_Type,Constituency,Candidate_Name,Gender,Age,Caste,Party,Party_Name,Symbol,Total_Votes,Percentage_Votes,State,Year,Result,Margin
L,Loksabha,Bagalkot,Gaddigoudar Parvatagouda Chandanagouda, Male,68, GEN,BJP, Bharatiya Janata Party, lotus,664638,0.551699996,Karnataka,01-01-2019,Winner,168187
L,Loksabha,Bagalkot,Veena Kashappanavar, Female,38, GEN,INC, Indian National Congress, hand,496451,0.412099987,Karnataka,01-01-2019,Loser,-168187
L,Loksabha,Bagalkot,Nota,Unknown,Unknown,Unknown,NOTA, None Of The Above,Unknown,11328,0.0094,Karnataka,01-01-2019,Loser,-653310
L,Loksabha,Bagalkot,Parashuram Laxman Neelnaik, Male,48, SC,RPIK, Republican Party Of India (karnataka), cup & saucer,7486,0.0062,Karnataka,01-01-2019,Loser,-657152
L,Loksabha,Bagalkot,Mahmad Husen Mujawar, Male,36, GEN,BSP, Bahujan Samaj Party, elephant,6743,0.0056,Karnataka,01-01-2019,Loser,-657895
L,Loksabha,Bagalkot,Ravi Shivappa Padasalagi, Male,42, GEN,IND, Independent, tractor chalata kisan,5489,0.0046,Karnataka,01-01-2019,Loser,-659149
L,Loksabha,Bagalkot,Shivarajkumar Ajjappa Talawar, Male,29, ST,IND, Independent, bat,3155,0.0026,Karnataka,01-01-2019,Loser,-661483
L,Loksabha,Bagalkot,Muttu S Surakod (madar), Male,33, SC,IND, Independent, whistle,2237,0.0019,Karnataka,01-01-2019,Loser,-662401
L,Loksabha,Bagalkot,M Shashikumar Hlepadi, Male,44, GEN,UPJP, Uttama Prajaakeeya Party, auto- rickshaw,1912,0.0016,Karnataka,01-01-2019,Loser,-662726
L,Loksabha,Bagalkot,Pendari Buddesab Makabulsab, Male,41, GEN,IND, Independent, road roller,1171,0.001,Karnataka,01-01-2019,Loser,-663467
L,Loksabha,Bagalkot,Basanagouda Ramanagouda Meti, Male,47, GEN,SDC, Secular Democratic Congress, hat,1016,0.0008,Karnataka,01-01-2019,Loser,-663622
L,Loksabha,Bagalkot,Muttappa Mudakappa Hirekumbi, Male,45, GEN,RTBHP, Raita Bharat Party, tiller,811,0.0007,Karnataka,01-01-2019,Loser,-663827
L,Loksabha,Bagalkot,Ramanagoud S Balawad, Male,39, GEN,HJP, Hindustan Janta Party, camera,806,0.0007,Karnataka,01-01-2019,Loser,-663832
L,Loksabha,Bagalkot,Jamindar Maruti, Male,37, SC,KJP, Karnataka Jantha Paksha, coconut farm,725,0.0006,Karnataka,01-01-2019,Loser,-663913
