Election_Id,Election_Type,Constituency,Candidate_Name,Gender,Age,Caste,Party,Party_Name,Symbol,Total_Votes,Percentage_Votes,State,Year,Result,Margin
L,Loksabha,Alappuzha,Adv A M Ariff, Male,54, GEN,CPIM, Communist Party Of India (marxist)," hammer, sickle and star",445970,0.409099996,Kerala,01-01-2019,Winner,10474
L,Loksabha,Alappuzha,Adv Shanimol Osman, Female,52, GEN,INC, Indian National Congress, hand,435496,0.399500012,Kerala,01-01-2019,Loser,-10474
L,Loksabha,Alappuzha,Dr K S Radhakrishnan, Male,64, GEN,BJP, Bharatiya Janata Party, lotus,187729,0.172199994,Kerala,01-01-2019,Loser,-258241
L,Loksabha,Alappuzha,Nota,Unknown,Unknown,Unknown,NOTA, None Of The Above,Unknown,6104,0.0056,Kerala,01-01-2019,Loser,-439866
L,Loksabha,Alappuzha,K S Shan, Male,36, GEN,SDPI, Social Democratic Party Of India, auto- rickshaw,3595,0.0033,Kerala,01-01-2019,Loser,-442375
L,Loksabha,Alappuzha,Adv Prasanthbhim, Male,33, SC,BSP, Bahujan Samaj Party, elephant,2431,0.0022,Kerala,01-01-2019,Loser,-443539
L,Loksabha,Alappuzha,A Akhilesh, Male,38, SC,APoI, Ambedkarite Party Of India, coat,1782,0.0016,Kerala,01-01-2019,Loser,-444188
L,Loksabha,Alappuzha,Varkala Raj, Male,57, GEN,PDP, Peoples Democratic Party, cup & saucer,1689,0.0015,Kerala,01-01-2019,Loser,-444281
L,Loksabha,Alappuzha,R Parthasarathy Varma, Male,51, GEN,SUCI(C), Socialist Unity Centre Of India (communist), battery torch,1133,0.001,Kerala,01-01-2019,Loser,-444837
L,Loksabha,Alappuzha,Satheesh Shenoi, Male,37, GEN,IND, Independent, apple,783,0.0007,Kerala,01-01-2019,Loser,-445187
L,Loksabha,Alappuzha,Santhosh Thuravoor, Male,46, SC,IND, Independent, flute,749,0.0007,Kerala,01-01-2019,Loser,-445221
L,Loksabha,Alappuzha,Vayalar Rajeevan, Male,46, SC,IND, Independent, pen nib with seven rays,696,0.0006,Kerala,01-01-2019,Loser,-445274
L,Loksabha,Alappuzha,Thahir, Male,36, GEN,IND, Independent, dish antenna,571,0.0005,Kerala,01-01-2019,Loser,-445399
L,Loksabha,Alappuzha,K C Venugopal, Male,51, GEN,INC, Indian National Congress, hand,462525,0.363900006,Kerala,01-01-2014,Winner,19407
