Election_Id,Election_Type,Constituency,Candidate_Name,Gender,Age,Caste,Party,Party_Name,Symbol,Total_Votes,Percentage_Votes,State,Year,Result,Margin
L,Loksabha,Balaghat,Dr Dhal Singh Bisen, Male,66, GEN,BJP, Bharatiya Janata Party, lotus,696102,NULL,Madhya Pradesh,01-01-2019,Winner,242066
L,Loksabha,Balaghat,Madhu Bhagat, Male,53, GEN,INC, Indian National Congress, hand,454036,NULL,Madhya Pradesh,01-01-2019,Loser,-242066
L,Loksabha,Balaghat,Kankar Munjare, Male,68, GEN,BSP, Bahujan Samaj Party, elephant,85177,NULL,Madhya Pradesh,01-01-2019,Loser,-610925
L,Loksabha,Balaghat,Bodhsingh Bhagat, Male,62, GEN,IND, Independent, auto- rickshaw,47220,NULL,Madhya Pradesh,01-01-2019,Loser,-648882
L,Loksabha,Balaghat,Ali M R Khan, Male,62, GEN,CPI, Communist Party Of India, ears of corn and sickle,9685,NULL,Madhya Pradesh,01-01-2019,Loser,-686417
L,Loksabha,Balaghat,Jaisingh Tekam, Male,68, ST,GGP, Gondvana Gantantra Party, saw,8711,NULL,Madhya Pradesh,01-01-2019,Loser,-687391
L,Loksabha,Balaghat,Narayan Banjare, Male,53, GEN,IND, Independent, coconut farm,8463,NULL,Madhya Pradesh,01-01-2019,Loser,-687639
L,Loksabha,Balaghat,Kishor Samrite, Male,56, GEN,IND, Independent, cup & saucer,7365,NULL,Madhya Pradesh,01-01-2019,Loser,-688737
L,Loksabha,Balaghat,Abhishek Bilhore, Male,25, GEN,BSCP, Bhartiya Shakti Chetna Party, key,5922,NULL,Madhya Pradesh,01-01-2019,Loser,-690180
L,Loksabha,Balaghat,Advocate Satyaprakash Shulke (lodhi), Male,40, GEN,MPJVP, Madhya Pradesh Jan Vikas Party, pressure cooker,5882,NULL,Madhya Pradesh,01-01-2019,Loser,-690220
L,Loksabha,Balaghat,Makbool Shah, Male,63, GEN,IND, Independent, television,4787,NULL,Madhya Pradesh,01-01-2019,Loser,-691315
L,Loksabha,Balaghat,Glg Tandekar, Male,43, SC,IND, Independent, glass tumbler,4504,NULL,Madhya Pradesh,01-01-2019,Loser,-691598
