Election_Id,Election_Type,Constituency,Candidate_Name,Gender,Age,Caste,Party,Party_Name,Symbol,Total_Votes,Percentage_Votes,State,Year,Result,Margin
L,Loksabha,Inner manipur,Dr Rajkumar Ranjan Singh, Male,67, GEN,BJP, Bharatiya Janata Party, lotus,263632,0.346700013,Manipur,01-01-2019,Winner,17755
L,Loksabha,Inner manipur,Oinam Nabakishore Singh, Male,59, GEN,INC, Indian National Congress, hand,245877,0.323300004,Manipur,01-01-2019,Loser,-17755
L,Loksabha,Inner manipur,Moirangthem Nara Singh, Male,69, GEN,CPI, Communist Party Of India, ears of corn and sickle,133813,0.175999999,Manipur,01-01-2019,Loser,-129819
L,Loksabha,Inner manipur,Rajkumar Somendro Singh (kaiku), Male,40, GEN,IND, Independent, ship,81634,0.107299998,Manipur,01-01-2019,Loser,-181998
L,Loksabha,Inner manipur,R K Anand, Male,59, GEN,NEINDP, North East India Development Party, walking stick,25010,0.032900002,Manipur,01-01-2019,Loser,-238622
L,Loksabha,Inner manipur,Nota,Unknown,Unknown,Unknown,NOTA, None Of The Above,Unknown,2614,0.0034,Manipur,01-01-2019,Loser,-261018
L,Loksabha,Inner manipur,Oinam Jugindro Singh, Male,68, GEN,MPEP, Manipur People?s Party, bicycle,1783,0.0023,Manipur,01-01-2019,Loser,-261849
L,Loksabha,Inner manipur,Wahengbam Pabitra Singh, Male,35, GEN,IND, Independent, ganna kisan,1470,0.0019,Manipur,01-01-2019,Loser,-262162
L,Loksabha,Inner manipur,Dr G Tonsana Sharma, Male,69, GEN,MDPF, Manipur Democratic Peoples's Front, battery torch,1256,0.0017,Manipur,01-01-2019,Loser,-262376
L,Loksabha,Inner manipur,M Totomshana Nongshaba, Male,40, GEN,IND, Independent, helicopter,973,0.0013,Manipur,01-01-2019,Loser,-262659
L,Loksabha,Inner manipur,Senjam Nandeshwore Singh, Male,60, GEN,RJSNP, Rashtriya Janhit Sangharsh Party, coat,747,0.001,Manipur,01-01-2019,Loser,-262885
L,Loksabha,Inner manipur,Md Iliyash Khan, Male,34, GEN,IND, Independent, auto- rickshaw,492,0.0006,Manipur,01-01-2019,Loser,-263140
L,Loksabha,Inner manipur,Dr Thokchom Meinya, Male,69, GEN,INC, Indian National Congress, hand,292102,0.341500014,Manipur,01-01-2014,Winner,94674
L,Loksabha,Inner manipur,Moirangthem Nara, Male,63, GEN,CPI, Communist Party Of India, ears of corn and sickle,197428,0.230800003,Manipur,01-01-2014,Loser,-94674
L,Loksabha,Inner manipur,R K Ranjan Singh, Male,62, GEN,BJP, Bharatiya Janata Party, lotus,92444,0.108099997,Manipur,01-01-2014,Loser,-199658
L,Loksabha,Inner manipur,Sarangthem Manaobi, Male,58, GEN,AITC, All India Trinamool Congress, flowers and grass,39903,0.046700001,Manipur,01-01-2014,Loser,-252199
L,Loksabha,Inner manipur,Indira Oinam, Female,39, GEN,IND, Independent, balloon,7014,0.0082,Manipur,01-01-2014,Loser,-285088
L,Loksabha,Inner manipur,None Of The Above,Unknown,Unknown,Unknown,NOTA, None Of The Above, nota,5298,0.0062,Manipur,01-01-2014,Loser,-286804
L,Loksabha,Inner manipur,Dr Ibomcha Singh, Male,43, GEN,AAAP, Aam Aadmi Party, broom,3273,0.0038,Manipur,01-01-2014,Loser,-288829
L,Loksabha,Inner manipur,Dr Gurumayum Tonsana Sharma, Male,64, GEN,MDPF, Manipur Democratic Peoples's Front, battery torch,2005,0.0023,Manipur,01-01-2014,Loser,-290097
L,Loksabha,Inner manipur,Oinam Jotin Singh, Male,37, GEN,JMBP, Jai Maha Bharath Party, candles,1403,0.0016,Manipur,01-01-2014,Loser,-290699
L,Loksabha,Inner manipur,Dr Thokchom Meinya, Male,58, GEN,INC, Indian National Congress,Unknown,230876,0.279300004,Manipur,01-01-2009,Winner,30960
L,Loksabha,Inner manipur,Moirangthem Nara, Male,58, GEN,CPI, Communist Party Of India,Unknown,199916,0.241799995,Manipur,01-01-2009,Loser,-30960
L,Loksabha,Inner manipur,Thounaojam Chaoba, Male,70, GEN,MPP, Manipur Peoples Party,Unknown,101787,0.123099998,Manipur,01-01-2009,Loser,-129089
L,Loksabha,Inner manipur,Wahengbam Nipamacha Singh, Male,78, GEN,BJP, Bharatiya Janata Party,Unknown,34094,0.041200001,Manipur,01-01-2009,Loser,-196782
L,Loksabha,Inner manipur,Abdul Rahman, Male,58, GEN,IND, Independent,Unknown,13805,0.0167,Manipur,01-01-2009,Loser,-217071
