Election_Id,Election_Type,Constituency,Candidate_Name,Gender,Age,Caste,Party,Party_Name,Symbol,Total_Votes,Percentage_Votes,State,Year,Result,Margin
L,Loksabha,Shillong,Vincent H Pala, Male,51, ST,INC, Indian National Congress, hand,419689,0.535099983,Meghalaya,01-01-2019,Winner,152433
L,Loksabha,Shillong,Jemino Mawthoh, Male,54, ST,UDP, United Democratic Party, drum,267256,0.340799987,Meghalaya,01-01-2019,Loser,-152433
L,Loksabha,Shillong,Sanbor Shullai, Male,52, ST,BJP, Bharatiya Janata Party, lotus,76683,0.097800002,Meghalaya,01-01-2019,Loser,-343006
L,Loksabha,Shillong,T H S Bonney, Male,58, ST,IND, Independent, key,6580,0.0084,Meghalaya,01-01-2019,Loser,-413109
L,Loksabha,Shillong,Romeo Phira Rani, Male,51, ST,IND, Independent, diamond,4961,0.0063,Meghalaya,01-01-2019,Loser,-414728
L,Loksabha,Shillong,Samuel Hashah, Male,32, ST,IND, Independent, football,4601,0.0059,Meghalaya,01-01-2019,Loser,-415088
L,Loksabha,Shillong,Nota,Unknown,Unknown,Unknown,NOTA, None Of The Above,Unknown,4420,0.0056,Meghalaya,01-01-2019,Loser,-415269
L,Loksabha,Shillong,Vincent H Pala, Male,46, ST,INC, Indian National Congress, hand,209340,0.213499993,Meghalaya,01-01-2014,Winner,40379
L,Loksabha,Shillong,Prechard B M Basaiawmoit, Male,63, ST,IND, Independent, candles,168961,0.172299996,Meghalaya,01-01-2014,Loser,-40379
L,Loksabha,Shillong,Paul Lyngdoh, Male,41, ST,UDP, United Democratic Party, drum,106817,0.108900003,Meghalaya,01-01-2014,Loser,-102523
L,Loksabha,Shillong,Shibun Lyngdoh, Male,45, ST,BJP, Bharatiya Janata Party, lotus,95979,0.097900003,Meghalaya,01-01-2014,Loser,-113361
L,Loksabha,Shillong,None Of The Above,Unknown,Unknown,Unknown,NOTA, None Of The Above, nota,10960,0.0112,Meghalaya,01-01-2014,Loser,-198380
L,Loksabha,Shillong,Armerington Kharshiing, Male,62, ST,AAAP, Aam Aadmi Party, broom,8815,0.009,Meghalaya,01-01-2014,Loser,-200525
L,Loksabha,Shillong,Richard D Shabong, Male,63, ST,CPI, Communist Party Of India, ears of corn and sickle,7418,0.0076,Meghalaya,01-01-2014,Loser,-201922
L,Loksabha,Shillong,Ivoryna Shylla, Female,65, ST,IND, Independent, television,6605,0.0067,Meghalaya,01-01-2014,Loser,-202735
L,Loksabha,Shillong,Denis Siangshai, Male,49, ST,IND, Independent, basket containing fruits,5092,0.0052,Meghalaya,01-01-2014,Loser,-204248
L,Loksabha,Shillong,Vincent H Pala, Male,41, ST,INC, Indian National Congress,Unknown,232270,0.300900012,Meghalaya,01-01-2009,Winner,107868
L,Loksabha,Shillong,John Filmore Kharshiing, Male,46, ST,UDP, United Democratic Party,Unknown,124402,0.1611,Meghalaya,01-01-2009,Loser,-107868
L,Loksabha,Shillong,P B M Basaiawmoit, Male,60, ST,HSPDP, Hill State People's Democratic Party,Unknown,97613,0.126399994,Meghalaya,01-01-2009,Loser,-134657
