Election_Id,Election_Type,Constituency,Candidate_Name,Gender,Age,Caste,Party,Party_Name,Symbol,Total_Votes,Percentage_Votes,State,Year,Result,Margin
A,Assembly,Dampa,Lalrobiaka, Male,49, ST,INC, Indian National Congress, hand,6172,0.430000007,Mizoram,01-01-2013,Winner,1161
A,Assembly,Dampa,Liansuama, Male,65, ST,MNF, Mizo National Front, star,5011,0.349999994,Mizoram,01-01-2013,Loser,-1161
A,Assembly,Dampa,Lalrimawia, Male,48, ST,ZNP, Zoram Nationalist Party, sun (without rays),2878,0.200000003,Mizoram,01-01-2013,Loser,-3294
A,Assembly,Dampa,R Laltawnliana, Male,53, ST,BJP, Bharatiya Janata Party, lotus,121,0.01,Mizoram,01-01-2013,Loser,-6051
A,Assembly,Dampa,None Of The Above,Unknown,Unknown,Unknown,NOTA, None Of The Above, nota,81,0.01,Mizoram,01-01-2013,Loser,-6091
A,Assembly,Dampa,Lalrobiaka, Male,43, ST,INC, Indian National Congress,Unknown,5004,0.409999996,Mizoram,01-01-2008,Winner,680
A,Assembly,Dampa,Lalrintluanga Sailo, Male,47, ST,MNF, Mizo National Front,Unknown,4324,0.360000014,Mizoram,01-01-2008,Loser,-680
A,Assembly,Dampa,Lalhmingthanga Sailo, Male,34, ST,ZNP, Zoram Nationalist Party,Unknown,2387,0.200000003,Mizoram,01-01-2008,Loser,-2617
A,Assembly,Dampa,C Hmingthansanga, Male,32, ST,BJP, Bharatiya Janata Party,Unknown,270,0.02,Mizoram,01-01-2008,Loser,-4734
A,Assembly,Dampa,Zakhuma, Male,77, ST,LJP, Lok Jan Shakti Party,Unknown,115,0.01,Mizoram,01-01-2008,Loser,-4889
A,Assembly,Dampa,Lalawmpuia Chhangte, Male,41, ST,NCP, Nationalist Congress Party,Unknown,69,0.01,Mizoram,01-01-2008,Loser,-4935
A,Assembly,Easttuipui,Ramthanmawia, Male,61, ST,MNF, Mizo National Front, star,4384,0.370000005,Mizoram,01-01-2018,Winner,587
A,Assembly,Easttuipui,C Laltanpuia, Male,57, ST,IND, Independent, hat,3797,0.319999993,Mizoram,01-01-2018,Loser,-587
A,Assembly,Easttuipui,T Sangkunga, Male,65, ST,INC, Indian National Congress, hand,3421,0.289999992,Mizoram,01-01-2018,Loser,-963
A,Assembly,Easttuipui,Dr Vl Zahawma Chawngthu, Male,45, ST,BJP, Bharatiya Janata Party, lotus,100,0.01,Mizoram,01-01-2018,Loser,-4284
A,Assembly,Easttuipui,Simeona, Male,32, ST,IND, Independent, ring,23,NULL,Mizoram,01-01-2018,Loser,-4361
A,Assembly,Easttuipui,None Of The Above,Unknown,Unknown,Unknown,NOTA, None Of The Above, nota,21,NULL,Mizoram,01-01-2018,Loser,-4363
A,Assembly,Easttuipui,T Sangkunga, Male,69, ST,INC, Indian National Congress, hand,4926,0.430000007,Mizoram,01-01-2013,Winner,798
A,Assembly,Easttuipui,Zoramthanga, Male,69, ST,MNF, Mizo National Front, star,4128,0.360000014,Mizoram,01-01-2013,Loser,-798
A,Assembly,Easttuipui,W Chhuanawma, Male,53, ST,ZNP, Zoram Nationalist Party, sun (without rays),2204,0.189999998,Mizoram,01-01-2013,Loser,-2722
