Election_Id,Election_Type,Constituency,Candidate_Name,Gender,Age,Caste,Party,Party_Name,Symbol,Total_Votes,Percentage_Votes,State,Year,Result,Margin
L,Loksabha,nagaland,Tokheho Yepthomi,Male,62,ST,NDPP,Nationalist Democratic Progressive Party,globe,500510,NULL,Nagaland,01-01-2019,Winner,16344
L,Loksabha,nagaland,K L Chishi,Male,75,ST,INC,Indian National Congress,hand,484166,NULL,Nagaland,01-01-2019,Loser,-16344
L,Loksabha,nagaland,Hayithung Tungoe,Male,38,ST,NPEP,National People's Party,book,14997,NULL,Nagaland,01-01-2019,Loser,-485513
L,Loksabha,nagaland,Dr M M Thromwa Konyak,Male,40,ST,IND,Independent,trumpet,4620,NULL,Nagaland,01-01-2019,Loser,-495890
L,Loksabha,nagaland,Nota,Unknown,Unknown,Unknown,NOTA,None Of The Above,Unknown,2064,NULL,Nagaland,01-01-2019,Loser,-498446
L,Loksabha,nagaland,Neiphiu Rio,Male,63,ST,NPF,Naga Peoples Front,cock,713372,NULL,Nagaland,01-01-2014,Winner,400225
L,Loksabha,nagaland,K V Pusa,Male,59,ST,INC,Indian National Congress,hand,313147,NULL,Nagaland,01-01-2014,Loser,-400225
L,Loksabha,nagaland,Akhei Achumi,Male,73,ST,SP(I),Socialist Party (india),battery torch,9695,NULL,Nagaland,01-01-2014,Loser,-703677
L,Loksabha,nagaland,None Of The Above,Unknown,Unknown,Unknown,NOTA,None Of The Above,nota,2696,NULL,Nagaland,01-01-2014,Loser,-710676
L,Loksabha,nagaland,C M Chang,Male,65,ST,NPF,Nagaland Peoples Front,Unknown,832224,NULL,Nagaland,01-01-2009,Winner,483021
L,Loksabha,nagaland,K Asungba Sangtam,Male,62,ST,INC,Indian National Congress,Unknown,349203,NULL,Nagaland,01-01-2009,Loser,-483021
L,Loksabha,nagaland,Dr Rilanthung Odyuo,Male,39,ST,AITC,All India Trinamool Congress,Unknown,8174,NULL,Nagaland,01-01-2009,Loser,-824050
L,Loksabha,nagaland,W Wangyuh,Male,40,ST,NPF,Nagaland Peoples Front,Unknown,698128,NULL,Nagaland,01-01-2004,Winner,452019
L,Loksabha,nagaland,K Asungba Sangtam,Male,58,ST,INC,Indian National Congress,Unknown,246109,NULL,Nagaland,01-01-2004,Loser,-452019
L,Loksabha,nagaland,Shri Akhei Achumi,Male,55,ST,JD(S),Janata Dal (secular),Unknown,5149,NULL,Nagaland,01-01-2004,Loser,-692979
L,Loksabha,nagaland,Shri Nyimthungo,Male,41,ST,IND,Independent,Unknown,3687,NULL,Nagaland,01-01-2004,Loser,-694441
L,Loksabha,nagaland,Dr Rilanthung,Male,31,ST,IND,Independent,Unknown,1646,NULL,Nagaland,01-01-2004,Loser,-696482
L,Loksabha,nagaland,K Asungba Sangtam,Male,Unknown,Unknown,INC,Indian National Congress,Unknown,516119,NULL,Nagaland,01-01-1999,Winner,353598
L,Loksabha,nagaland,Shurhozelie,Male,Unknown,Unknown,IND,Independent,Unknown,162521,NULL,Nagaland,01-01-1999,Loser,-353598
L,Loksabha,nagaland,Neikhaho,Male,Unknown,Unknown,BJP,Bharatiya Janata Party,Unknown,37156,NULL,Nagaland,01-01-1999,Loser,-478963
L,Loksabha,nagaland,Akhei Achumi,Male,Unknown,Unknown,LS,Lok Shakti,Unknown,5763,NULL,Nagaland,01-01-1999,Loser,-510356
L,Loksabha,nagaland,Roland,Male,Unknown,Unknown,IND,Independent,Unknown,3486,NULL,Nagaland,01-01-1999,Loser,-512633
L,Loksabha,nagaland,K Asungba Sangtam,Male,Unknown,Unknown,INC,Indian National Congress,Unknown,344223,NULL,Nagaland,01-01-1998,Winner,291438
L,Loksabha,nagaland,Akhei Achumi,Male,Unknown,Unknown,LS,Lok Shakti,Unknown,52785,NULL,Nagaland,01-01-1998,Loser,-291438
L,Loksabha,nagaland,Imchalemba,Male,Unknown,Unknown,INC,Indian National Congress,Unknown,472102,NULL,Nagaland,01-01-1996,Winner,197403
L,Loksabha,nagaland,Khekiho,Male,Unknown,Unknown,IND,Independent,Unknown,274699,NULL,Nagaland,01-01-1996,Loser,-197403
