Election_Id,Election_Type,Constituency,Candidate_Name,Gender,Age,Caste,Party,Party_Name,Symbol,Total_Votes,Percentage_Votes,State,Year,Result,Margin
L,Loksabha,Aska,Pramila Bisoyi, Female,70, GEN,BJD, Biju Janata Dal, conch,552749,0.54519999,Orissa,01-01-2019,Winner,204707
L,Loksabha,Aska,Anita Subhadarshini, Female,47, GEN,BJP, Bharatiya Janata Party, lotus,348042,0.343300015,Orissa,01-01-2019,Loser,-204707
L,Loksabha,Aska,Rama Krushna Panda, Male,47, GEN,CPI, Communist Party Of India, ears of corn and sickle,59978,0.0592,Orissa,01-01-2019,Loser,-492771
L,Loksabha,Aska,Nota,Unknown,Unknown,Unknown,NOTA, None Of The Above,Unknown,17344,0.017100001,Orissa,01-01-2019,Loser,-535405
L,Loksabha,Aska,Purna Chandra Nayak, Male,29, SC,BSP, Bahujan Samaj Party, elephant,8549,0.0084,Orissa,01-01-2019,Loser,-544200
L,Loksabha,Aska,Chakradhar Sahu, Male,62, GEN,IND, Independent, apple,7738,0.0076,Orissa,01-01-2019,Loser,-545011
L,Loksabha,Aska,K Shyambabu Subudhi, Male,83, GEN,IND, Independent, bat,7476,0.0074,Orissa,01-01-2019,Loser,-545273
L,Loksabha,Aska,Sankar Sahu, Male,43, GEN,CPIM, Communist Party Of India (marxist), saw,5999,0.0059,Orissa,01-01-2019,Loser,-546750
L,Loksabha,Aska,Rajeeb Chandra Khadanga, Male,45, GEN,AIFB, All India Forward Bloc, lion,5987,0.0059,Orissa,01-01-2019,Loser,-546762
L,Loksabha,Aska,Ladu Kishore Swain, Male,66, GEN,BJD, Biju Janata Dal, conch,541473,0.38440001,Orissa,01-01-2014,Winner,311997
L,Loksabha,Aska,Srilokanath Ratha, Male,42, GEN,INC, Indian National Congress, hand,229476,0.162900001,Orissa,01-01-2014,Loser,-311997
L,Loksabha,Aska,Mahesh Chandra Mohanty, Male,57, GEN,BJP, Bharatiya Janata Party, lotus,67361,0.047800001,Orissa,01-01-2014,Loser,-474112
L,Loksabha,Aska,None Of The Above,Unknown,Unknown,Unknown,NOTA, None Of The Above, nota,15382,0.0109,Orissa,01-01-2014,Loser,-526091
L,Loksabha,Aska,Prabhat Kumar Mahanty, Male,52, GEN,AAAP, Aam Aadmi Party, broom,11063,0.0079,Orissa,01-01-2014,Loser,-530410
L,Loksabha,Aska,Bijaya Kumar Mahapatro, Male,62, GEN,BSP, Bahujan Samaj Party, elephant,9127,0.0065,Orissa,01-01-2014,Loser,-532346
L,Loksabha,Aska,Bansidhar Tripathy, Male,79, GEN,AITC, All India Trinamool Congress, flowers and grass,7553,0.0054,Orissa,01-01-2014,Loser,-533920
L,Loksabha,Aska,K Shyambabu Subudhi, Male,78, GEN,IND, Independent, bat,5293,0.0038,Orissa,01-01-2014,Loser,-536180
L,Loksabha,Aska,Kali Charana Nayak, Male,53, SC,IND, Independent, ceiling fan,5192,0.0037,Orissa,01-01-2014,Loser,-536281
L,Loksabha,Aska,Sankar Sahu, Male,38, GEN,CPIM, Communist Party Of India (marxist-leninist), saw,4361,0.0031,Orissa,01-01-2014,Loser,-537112
L,Loksabha,Aska,Nityananda Pradhan, Male,65, GEN,BJD, Biju Janata Dal,Unknown,419862,0.326400012,Orissa,01-01-2009,Winner,232834
L,Loksabha,Aska,Ramachandra Rath, Male,63, GEN,INC, Indian National Congress,Unknown,187028,0.145400003,Orissa,01-01-2009,Loser,-232834
