Election_Id,Election_Type,Constituency,Candidate_Name,Gender,Age,Caste,Party,Party_Name,Symbol,Total_Votes,Percentage_Votes,State,Year,Result,Margin
A,Assembly,Bahour,R Thangavelu Clemanso, Male,Unknown,Unknown,CPI, Communist Party Of India,Unknown,1507,NULL,Puducherry,01-01-1977,Loser,-1892
A,Assembly,Bahour,P Ariakrishnan, Male,Unknown,Unknown,DMK, Dravida Munnetra Kazhagam,Unknown,209,NULL,Puducherry,01-01-1977,Loser,-3190
A,Assembly,Bahour,Thangavel Clamanso, Male,Unknown,Unknown,CPI, Communist Party Of India,Unknown,2727,NULL,Puducherry,01-01-1974,Winner,516
A,Assembly,Bahour,P Utharavelu, Male,Unknown,Unknown,IND, Independent,Unknown,2211,NULL,Puducherry,01-01-1974,Loser,-516
A,Assembly,Bahour,S Narayanaswamy, Male,Unknown,Unknown,NCO, Indian National Congress (organisation),Unknown,1538,NULL,Puducherry,01-01-1974,Loser,-1189
A,Assembly,Bahour,K Krishnaswamy, Male,Unknown,Unknown,DMK, Dravida Munnetra Kazhagam,Unknown,558,NULL,Puducherry,01-01-1974,Loser,-2169
A,Assembly,Embalam,U Lakshmikandhan, Male,51, SC,AINRC, All India N.r. Congress, jug,15624,NULL,Puducherry,01-01-2021,Winner,2240
A,Assembly,Embalam,M Candassamy, Male,55, SC,INC, Indian National Congress, hand,13384,NULL,Puducherry,01-01-2021,Loser,-2240
A,Assembly,Embalam,N Somanathan, Male,48, SC,MNM, Makkal Needhi Maiam, battery torch,618,NULL,Puducherry,01-01-2021,Loser,-15006
A,Assembly,Embalam,N Sutha, Male,37, SC,NTK, Naam Tamilar Katchi, ganna kisan,590,NULL,Puducherry,01-01-2021,Loser,-15034
A,Assembly,Embalam,Nota,Unknown,Unknown,Unknown,NOTA, None Of The Above, nota,193,NULL,Puducherry,01-01-2021,Loser,-15431
A,Assembly,Embalam,S Steeban, Male,38, SC,DMDK, Desiya Murpokku Dravida Kazhagam, nagara,120,NULL,Puducherry,01-01-2021,Loser,-15504
A,Assembly,Embalam,D Arvindhan, Male,25, SC,BSP, Bahujan Samaj Party, elephant,90,NULL,Puducherry,01-01-2021,Loser,-15534
A,Assembly,Embalam,A Murugaiyan, Male,51, SC,IND, Independent, key,81,NULL,Puducherry,01-01-2021,Loser,-15543
A,Assembly,Embalam,P Vaithilingam, Male,53, SC,IJK, Indiya Jananayaka Katchi, auto- rickshaw,23,NULL,Puducherry,01-01-2021,Loser,-15601
A,Assembly,Embalam,"Candassamy, M", Male,50, SC,INC, Indian National Congress,Unknown,18945,NULL,Puducherry,01-01-2016,Winner,11200
A,Assembly,Embalam,"Lakshmikandhan, U", Male,46, SC,AINRC, All India N.r. Congress,Unknown,7745,NULL,Puducherry,01-01-2016,Loser,-11200
A,Assembly,Embalam,"Govindharasu, K", Male,48, SC,ADMK, All India Anna Dravida Munnetra Kazhagam,Unknown,1193,NULL,Puducherry,01-01-2016,Loser,-17752
A,Assembly,Embalam,None Of The Above,Unknown,Unknown,Unknown,NOTA, None Of The Above, nota,333,NULL,Puducherry,01-01-2016,Loser,-18612
A,Assembly,Embalam,"Steeban, S", Male,35, SC,DMDK, Desiya Murpokku Dravida Kazhagam,Unknown,135,NULL,Puducherry,01-01-2016,Loser,-18810
A,Assembly,Embalam,"Ramadass, M", Male,60, SC,BJP, Bharatiya Janata Party,Unknown,107,NULL,Puducherry,01-01-2016,Loser,-18838
A,Assembly,Embalam,"Ellammal, R", Female,50, SC,CPI(ML)(L), Communist Party Of India (marxist-leninist) (liberation),Unknown,82,NULL,Puducherry,01-01-2016,Loser,-18863
A,Assembly,Embalam,"Sandylian, S", Male,31, SC,NTK,Unknown,Unknown,76,NULL,Puducherry,01-01-2016,Loser,-18869
A,Assembly,Embalam,"Ramadoss, K", Male,51, SC,JD(U), Janata Dal (united),Unknown,43,NULL,Puducherry,01-01-2016,Loser,-18902
A,Assembly,Embalam,"Jayachandiran, A", Male,29, SC,IJK, Indiya Jananayaka Katchi,Unknown,9,NULL,Puducherry,01-01-2016,Loser,-18936
A,Assembly,Embalam,P Rajavelu, Male,49, SC,AINRC, All India N.r. Congress,Unknown,12933,NULL,Puducherry,01-01-2011,Winner,1468
A,Assembly,Embalam,M Candassamy, Male,45, SC,INC, Indian National Congress,Unknown,11465,NULL,Puducherry,01-01-2011,Loser,-1468
A,Assembly,Embalam,N Ethirajan, Male,46, SC,IND, Independent,Unknown,351,NULL,Puducherry,01-01-2011,Loser,-12582
A,Assembly,Embalam,J Sactivelou, Male,42, SC,CPI(ML)(L), Communist Party Of India (marxist-leninist) (liberation),Unknown,144,NULL,Puducherry,01-01-2011,Loser,-12789
