Election_Id,Election_Type,Constituency,Candidate_Name,Gender,Age,Caste,Party,Party_Name,Symbol,Total_Votes,Percentage_Votes,State,Year,Result,Margin
L,Loksabha,Amritsar,Gurjeet Singh Aujla,Male,46,GEN,INC,Indian National Congress,hand,445032,0.517099977,Punjab,01-01-2019,Winner,99626
L,Loksabha,Amritsar,Hardeep Singh Puri,Male,67,GEN,BJP,Bharatiya Janata Party,lotus,345406,0.4014,Punjab,01-01-2019,Loser,-99626
L,Loksabha,Amritsar,Kuldip Singh Dhaliwal,Male,58,GEN,AAAP,Aam Aadmi Party,broom,20087,0.0233,Punjab,01-01-2019,Loser,-424945
L,Loksabha,Amritsar,Daswinder Kaur,Female,55,GEN,CPI,Communist Party Of India,ears of corn and sickle,16335,0.018999999,Punjab,01-01-2019,Loser,-428697
L,Loksabha,Amritsar,Nota,Unknown,Unknown,Unknown,NOTA,None Of The Above,Unknown,8763,0.0102,Punjab,01-01-2019,Loser,-436269
L,Loksabha,Amritsar,Sham Lal Gandhiwadi,Male,36,SC,IND,Independent,kettle,3251,0.0038,Punjab,01-01-2019,Loser,-441781
L,Loksabha,Amritsar,Sunil Kumar Mattu,Male,32,SC,IND,Independent,pot,3204,0.0037,Punjab,01-01-2019,Loser,-441828
L,Loksabha,Amritsar,Shubham Kumar,Male,25,SC,IND,Independent,computer,2311,0.0027,Punjab,01-01-2019,Loser,-442721
L,Loksabha,Amritsar,Surjit Singh,Male,62,SC,IND,Independent,carpet,1609,0.0019,Punjab,01-01-2019,Loser,-443423
L,Loksabha,Amritsar,Lakhwinder Singh Sidhu,Male,58,SC,RPI(A),Republican Party Of India (a),key,1325,0.0015,Punjab,01-01-2019,Loser,-443707
L,Loksabha,Amritsar,Gagandeep Kumar,Male,37,GEN,SHS,Shivsena,bow & arrow,1193,0.0014,Punjab,01-01-2019,Loser,-443839
L,Loksabha,Amritsar,Sandeep Singh,Male,26,SC,IND,Independent,lunch box,1019,0.0012,Punjab,01-01-2019,Loser,-444013
L,Loksabha,Amritsar,Mohinder Singh,Male,77,SC,IND,Independent,sewing machine,901,0.001,Punjab,01-01-2019,Loser,-444131
L,Loksabha,Amritsar,Satnam Singh,Male,30,SC,DPIN,Democratic Party Of India (ambedkar),punching machine,799,0.0009,Punjab,01-01-2019,Loser,-444233
L,Loksabha,Amritsar,Kawaljit Singh Sahota,Male,39,SC,BSP(A),Bahujan Samaj Party (ambedkar),television,774,0.0009,Punjab,01-01-2019,Loser,-444258
L,Loksabha,Amritsar,Sunil Kumar Bhatti,Male,44,SC,IND,Independent,shutter,703,0.0008,Punjab,01-01-2019,Loser,-444329
