Election_Id,Election_Type,Constituency,Candidate_Name,Gender,Age,Caste,Party,Party_Name,Symbol,Total_Votes,Percentage_Votes,State,Year,Result,Margin
L,Loksabha,Ajmer,Bhagirath Chaudhary, Male,64, GEN,BJP, Bharatiya Janata Party, lotus,815076,0.645200014,Rajasthan,01-01-2019,Winner,416424
L,Loksabha,Ajmer,Riju Jhunjhunwala, Male,40, GEN,INC, Indian National Congress, hand,398652,0.315600008,Rajasthan,01-01-2019,Loser,-416424
L,Loksabha,Ajmer,Durga Lal Regar, Male,60, SC,BSP, Bahujan Samaj Party, elephant,13618,0.0108,Rajasthan,01-01-2019,Loser,-801458
L,Loksabha,Ajmer,Vishram Babu, Male,60, SC,APoI, Ambedkarite Party Of India, coat,13041,0.0103,Rajasthan,01-01-2019,Loser,-802035
L,Loksabha,Ajmer,Nota,Unknown,Unknown,Unknown,NOTA, None Of The Above,Unknown,9578,0.0076,Rajasthan,01-01-2019,Loser,-805498
L,Loksabha,Ajmer,Soniya Regar, Female,31, SC,IND, Independent, almirah,4824,0.0038,Rajasthan,01-01-2019,Loser,-810252
L,Loksabha,Ajmer,Mukesh Gena, Male,31, GEN,IND, Independent, camera,4652,0.0037,Rajasthan,01-01-2019,Loser,-810424
L,Loksabha,Ajmer,Pramod Kumar, Male,38, GEN,IND, Independent, gas cylinder,2773,0.0022,Rajasthan,01-01-2019,Loser,-812303
L,Loksabha,Ajmer,Sanwar Lal Jat, Male,59, GEN,BJP, Bharatiya Janata Party, lotus,637874,0.379000008,Rajasthan,01-01-2014,Winner,171983
L,Loksabha,Ajmer,Sachin Pilot, Male,36, GEN,INC, Indian National Congress, hand,465891,0.276800007,Rajasthan,01-01-2014,Loser,-171983
L,Loksabha,Ajmer,None Of The Above,Unknown,Unknown,Unknown,NOTA, None Of The Above, nota,12546,0.0075,Rajasthan,01-01-2014,Loser,-625328
L,Loksabha,Ajmer,Sanwar Lal, Male,30, GEN,NCP, Nationalist Congress Party, clock,12149,0.0072,Rajasthan,01-01-2014,Loser,-625725
L,Loksabha,Ajmer,Jagdish, Male,49, SC,BSP, Bahujan Samaj Party, elephant,7974,0.0047,Rajasthan,01-01-2014,Loser,-629900
L,Loksabha,Ajmer,Surendra Kumar Jain, Male,46, GEN,IND, Independent, letter box,5184,0.0031,Rajasthan,01-01-2014,Loser,-632690
L,Loksabha,Ajmer,Bhanwar Lal Soni, Male,57, GEN,IND, Independent, ceiling fan,4970,0.003,Rajasthan,01-01-2014,Loser,-632904
L,Loksabha,Ajmer,Narain Das Sindhi, Male,65, GEN,IND, Independent, camera,3518,0.0021,Rajasthan,01-01-2014,Loser,-634356
L,Loksabha,Ajmer,Mukul Mishra, Male,47, GEN,ABHM, Akhil Bharat Hindu Mahasabha, coconut,1869,0.0011,Rajasthan,01-01-2014,Loser,-636005
L,Loksabha,Ajmer,Jagdish Singh Rawat, Male,54, GEN,IND, Independent, bat,1374,0.0008,Rajasthan,01-01-2014,Loser,-636500
L,Loksabha,Ajmer,Ramlal, Male,50, SC,AKBAP, Akhil Bhartiya Aamjan Party, balloon,1040,0.0006,Rajasthan,01-01-2014,Loser,-636834
L,Loksabha,Ajmer,Krishna Kumar Dadhich, Male,27, GEN,IND, Independent, batsman,1015,0.0006,Rajasthan,01-01-2014,Loser,-636859
L,Loksabha,Ajmer,Anita Jain, Female,46, GEN,IND, Independent, gas stove,910,0.0005,Rajasthan,01-01-2014,Loser,-636964
L,Loksabha,Ajmer,Sachin Pilot, Male,31, GEN,INC, Indian National Congress,Unknown,405575,0.278699994,Rajasthan,01-01-2009,Winner,76135
