Election_Id,Election_Type,Constituency,Candidate_Name,Gender,Age,Caste,Party,Party_Name,Symbol,Total_Votes,Percentage_Votes,State,Year,Result,Margin
A,Assembly,Arithang,Arun Kumar Upreti, Male,51, GEN,SKM, Sikkim Krantikari Morcha, table lamp,3150,0.400000006,sikkim,01-01-2019,Winner,474
A,Assembly,Arithang,Ashis Rai, Male,41, GEN,IND, Independent, battery torch,2676,0.340000004,sikkim,01-01-2019,Loser,-474
A,Assembly,Arithang,Shyam Pradhan, Male,47, GEN,SDF, Sikkim Democratic Front, umbrella,1545,0.200000003,sikkim,01-01-2019,Loser,-1605
A,Assembly,Arithang,Dal Bahadur Chettri, Male,45, GEN,BJP, Bharatiya Janata Party, lotus,393,0.050000001,sikkim,01-01-2019,Loser,-2757
A,Assembly,Arithang,Nota,Unknown,Unknown,Unknown,NOTA, None Of The Above, nota,66,0.01,sikkim,01-01-2019,Loser,-3084
A,Assembly,Arithang,Sumitra Rai, Female,51, GEN,INC, Indian National Congress, hand,42,0.01,sikkim,01-01-2019,Loser,-3108
A,Assembly,Arithang,Shyam Pradhan, Male,42, GEN,SKM, Sikkim Krantikari Morcha, table lamp,4026,0.579999983,sikkim,01-01-2014,Winner,1606
A,Assembly,Arithang,Udai Lama, Male,60, ST,SDF, Sikkim Democratic Front, umbrella,2420,0.349999994,sikkim,01-01-2014,Loser,-1606
A,Assembly,Arithang,Sherap Dorjee Bhutia, Male,32, ST,IND, Independent, candles,253,0.039999999,sikkim,01-01-2014,Loser,-3773
A,Assembly,Arithang,Gyalpo Tamang, Male,39, ST,INC, Indian National Congress, hand,105,0.02,sikkim,01-01-2014,Loser,-3921
A,Assembly,Arithang,Rajeney Gurung, Female,42, GEN,IND, Independent, gas cylinder,76,0.01,sikkim,01-01-2014,Loser,-3950
A,Assembly,Arithang,None Of The Above,Unknown,Unknown,Unknown,NOTA, None Of The Above, nota,71,0.01,sikkim,01-01-2014,Loser,-3955
A,Assembly,Arithang,Narendra Kr Pradhan, Male,58, GEN,SDF, Sikkim Democratic Front,Unknown,3320,0.610000014,sikkim,01-01-2009,Winner,1455
A,Assembly,Arithang,Bharat Basnett, Male,50, GEN,INC, Indian National Congress,Unknown,1865,0.340000004,sikkim,01-01-2009,Loser,-1455
A,Assembly,Arithang,Ashok Kr Subba, Male,59, GEN,NCP, Nationalist Congress Party,Unknown,141,0.029999999,sikkim,01-01-2009,Loser,-3179
A,Assembly,Arithang,Atal Bahadur Tamang, Male,57, ST,SHRP, Sikkim Himali Rajya Parishad Party,Unknown,48,0.01,sikkim,01-01-2009,Loser,-3272
A,Assembly,Arithang,Amit Kumar Pradhan, Male,27, GEN,IND, Independent,Unknown,46,0.01,sikkim,01-01-2009,Loser,-3274
A,Assembly,Arithang,Kharga Bahadur Rai, Male,40, GEN,SGPP, Sikkim Gorkha Prajatantric Party,Unknown,27,0.01,sikkim,01-01-2009,Loser,-3293
A,Assembly,Barfung,Tashi Thendup Bhutia, Male,56, ST,SDF, Sikkim Democratic Front, umbrella,5936,0.49000001,sikkim,01-01-2019,Winner,97
A,Assembly,Barfung,Lobzang Bhutia, Male,54, ST,SKM, Sikkim Krantikari Morcha, table lamp,5839,0.479999989,sikkim,01-01-2019,Loser,-97
A,Assembly,Barfung,Mingma Tshring Sherpa, Male,60, ST,SKPP, Sikkim Republican Party, flute,169,0.01,sikkim,01-01-2019,Loser,-5767
A,Assembly,Barfung,Nota,Unknown,Unknown,Unknown,NOTA, None Of The Above, nota,139,0.01,sikkim,01-01-2019,Loser,-5797
A,Assembly,Barfung,Dorjee Dazom Bhutia, Male,63, ST,SDF, Sikkim Democratic Front, umbrella,6639,0.639999986,sikkim,01-01-2014,Winner,3179
A,Assembly,Barfung,Pema Wangyal Bhutia, Male,55, ST,SKM, Sikkim Krantikari Morcha, table lamp,3460,0.330000013,sikkim,01-01-2014,Loser,-3179
A,Assembly,Barfung,None Of The Above,Unknown,Unknown,Unknown,NOTA, None Of The Above, nota,197,0.02,sikkim,01-01-2014,Loser,-6442
A,Assembly,Barfung,Dadul Lepcha, Male,30, ST,INC, Indian National Congress, hand,112,0.01,sikkim,01-01-2014,Loser,-6527
A,Assembly,Barfung,Sonam Gyatso Bhutia, Male,51, ST,SDF, Sikkim Democratic Front,Unknown,6049,0.699999988,sikkim,01-01-2009,Winner,3852
A,Assembly,Barfung,Lobzang Bhutia, Male,43, ST,INC, Indian National Congress,Unknown,2197,0.25999999,sikkim,01-01-2009,Loser,-3852
A,Assembly,Barfung,Sonam Pintso Bhutia, Male,35, ST,IND, Independent,Unknown,352,0.039999999,sikkim,01-01-2009,Loser,-5697
A,Assembly,Chujachen,Krishna Bahadur Rai, Male,70, GEN,SDF, Sikkim Democratic Front, umbrella,7266,0.50999999,sikkim,01-01-2019,Winner,1327
A,Assembly,Chujachen,Damber Kumar Pradhan, Male,33, GEN,SKM, Sikkim Krantikari Morcha, table lamp,5939,0.419999987,sikkim,01-01-2019,Loser,-1327
A,Assembly,Chujachen,Mohan Gurung, Male,76, GEN,BJP, Bharatiya Janata Party, lotus,514,0.039999999,sikkim,01-01-2019,Loser,-6752
A,Assembly,Chujachen,Gopal Chettri, Male,39, GEN,INC, Indian National Congress, hand,177,0.01,sikkim,01-01-2019,Loser,-7089
A,Assembly,Chujachen,Anil Kr Rai, Male,40, GEN,SKPP, Sikkim Republican Party, flute,107,0.01,sikkim,01-01-2019,Loser,-7159
A,Assembly,Chujachen,Nota,Unknown,Unknown,Unknown,NOTA, None Of The Above, nota,97,0.01,sikkim,01-01-2019,Loser,-7169
A,Assembly,Chujachen,Rudra Khatiwara, Male,46, GEN,HMSKP, Hamro Sikkim Party, whistle,57,NULL,sikkim,01-01-2019,Loser,-7209
A,Assembly,Chujachen,Rudra Narsing Sakya, Male,47, GEN,IND, Independent, binoculars,56,NULL,sikkim,01-01-2019,Loser,-7210
