Election_Id,Election_Type,Constituency,Candidate_Name,Gender,Age,Caste,Party,Party_Name,Symbol,Total_Votes,Percentage_Votes,State,Year,Result,Margin
L,Loksabha,Arakonam,S Jagathrakshakan,Male,71,GEN,DMK,Dravida Munnetra Kazhagam,rising sun,672190,0.569800019,Tamil Nadu,01-01-2019,Winner,328956
L,Loksabha,Arakonam,A K Moorthy,Male,55,GEN,PMK,Pattali Makkal Katchi,mango,343234,0.290899992,Tamil Nadu,01-01-2019,Loser,-328956
L,Loksabha,Arakonam,N G Parthiban,Male,43,GEN,IND,Independent,gift pack,66826,0.056600001,Tamil Nadu,01-01-2019,Loser,-605364
L,Loksabha,Arakonam,Y R Pavendhan,Male,40,GEN,NTK,Naam Tamilar Katchi,ganna kisan,29347,0.024900001,Tamil Nadu,01-01-2019,Loser,-642843
L,Loksabha,Arakonam,"Rajendran, N",Male,61,GEN,MNM,Makkal Needhi Maiam,battery torch,23771,0.020099999,Tamil Nadu,01-01-2019,Loser,-648419
L,Loksabha,Arakonam,Nota,Unknown,Unknown,Unknown,NOTA,None Of The Above,Unknown,12179,0.0103,Tamil Nadu,01-01-2019,Loser,-660011
L,Loksabha,Arakonam,D Doss,Male,48,SC,BSP,Bahujan Samaj Party,elephant,8307,0.007,Tamil Nadu,01-01-2019,Loser,-663883
L,Loksabha,Arakonam,M Savitha,Female,33,SC,APoI,Ambedkarite Party Of India,coat,4498,0.0038,Tamil Nadu,01-01-2019,Loser,-667692
L,Loksabha,Arakonam,C Moorthy,Male,35,GEN,IND,Independent,auto- rickshaw,3499,0.003,Tamil Nadu,01-01-2019,Loser,-668691
L,Loksabha,Arakonam,M Parthiban,Male,45,SC,IND,Independent,air conditioner,3313,0.0028,Tamil Nadu,01-01-2019,Loser,-668877
L,Loksabha,Arakonam,G Moorthy,Male,36,GEN,IND,Independent,almirah,1616,0.0014,Tamil Nadu,01-01-2019,Loser,-670574
L,Loksabha,Arakonam,M S Krishnan,Male,59,SC,IND,Independent,telephone,1322,0.0011,Tamil Nadu,01-01-2019,Loser,-670868
L,Loksabha,Arakonam,M Natarajan,Male,50,GEN,IND,Independent,t.v. remote,1214,0.001,Tamil Nadu,01-01-2019,Loser,-670976
L,Loksabha,Arakonam,Dr T M S Sadhu Muthu Krishnan Erajendran,Male,57,SC,IND,Independent,camera,1186,0.001,Tamil Nadu,01-01-2019,Loser,-671004
L,Loksabha,Arakonam,S Shettu,Male,46,SC,IND,Independent,gas cylinder,1067,0.0009,Tamil Nadu,01-01-2019,Loser,-671123
L,Loksabha,Arakonam,P S Suresh,Male,35,GEN,IND,Independent,pendulum,1062,0.0009,Tamil Nadu,01-01-2019,Loser,-671128
L,Loksabha,Arakonam,B Ganesan,Male,44,GEN,IND,Independent,sofa,925,0.0008,Tamil Nadu,01-01-2019,Loser,-671265
L,Loksabha,Arakonam,R Elamvazhudhi,Male,60,GEN,IND,Independent,pressure cooker,862,0.0007,Tamil Nadu,01-01-2019,Loser,-671328
L,Loksabha,Arakonam,Panchu Udayakumar,Male,40,SC,IND,Independent,electric pole,839,0.0007,Tamil Nadu,01-01-2019,Loser,-671351
L,Loksabha,Arakonam,R Ramesh,Male,40,GEN,IND,Independent,laptop,803,0.0007,Tamil Nadu,01-01-2019,Loser,-671387
L,Loksabha,Arakonam,"Hari, G",Male,53,GEN,ADMK,All India Anna Dravida Munnetra Kazhagam,two leaves,493534,0.352100015,Tamil Nadu,01-01-2014,Winner,240766
L,Loksabha,Arakonam,"Elango, N R",Male,47,GEN,DMK,Dravida Munnetra Kazhagam,rising sun,252768,0.180299997,Tamil Nadu,01-01-2014,Loser,-240766
L,Loksabha,Arakonam,"Velu, R",Male,73,GEN,PMK,Pattali Makkal Katchi,mango,233762,0.166800007,Tamil Nadu,01-01-2014,Loser,-259772
L,Loksabha,Arakonam,"Rajesh, R",Male,34,GEN,INC,Indian National Congress,hand,56337,0.040199999,Tamil Nadu,01-01-2014,Loser,-437197
L,Loksabha,Arakonam,None Of The Above,Unknown,Unknown,Unknown,NOTA,None Of The Above,nota,10370,0.0074,Tamil Nadu,01-01-2014,Loser,-483164
L,Loksabha,Arakonam,"Dass, D",Male,43,SC,BSP,Bahujan Samaj Party,elephant,7354,0.0052,Tamil Nadu,01-01-2014,Loser,-486180
L,Loksabha,Arakonam,"Gajendran, S",Male,36,GEN,IND,Independent,chappals,6570,0.0047,Tamil Nadu,01-01-2014,Loser,-486964
L,Loksabha,Arakonam,Panchu Udayakuma R,Male,35,SC,IND,Independent,electric pole,6025,0.0043,Tamil Nadu,01-01-2014,Loser,-487509
L,Loksabha,Arakonam,"Rajesh, S",Male,28,GEN,AAAP,Aam Aadmi Party,broom,4021,0.0029,Tamil Nadu,01-01-2014,Loser,-489513
L,Loksabha,Arakonam,"Ravi, V",Male,48,SC,IND,Independent,balloon,2198,0.0016,Tamil Nadu,01-01-2014,Loser,-491336
L,Loksabha,Arakonam,"Gopinathan, G",Male,55,SC,IND,Independent,chess board,1955,0.0014,Tamil Nadu,01-01-2014,Loser,-491579
L,Loksabha,Arakonam,"Elangovan, D",Male,28,GEN,IND,Independent,grapes,1556,0.0011,Tamil Nadu,01-01-2014,Loser,-491978
L,Loksabha,Arakonam,"Hari, S",Male,25,GEN,IND,Independent,coat,1458,0.001,Tamil Nadu,01-01-2014,Loser,-492076
L,Loksabha,Arakonam,"Viswanathan, P",Male,42,GEN,IND,Independent,ring,1434,0.001,Tamil Nadu,01-01-2014,Loser,-492100
L,Loksabha,Arakonam,"Vadivel, A",Male,34,SC,IND,Independent,batsman,1023,0.0007,Tamil Nadu,01-01-2014,Loser,-492511
L,Loksabha,Arakonam,"Velu, D",Male,53,GEN,IND,Independent,coconut,920,0.0007,Tamil Nadu,01-01-2014,Loser,-492614
L,Loksabha,Arakonam,"Elango, N",Male,43,GEN,IND,Independent,cup & saucer,918,0.0007,Tamil Nadu,01-01-2014,Loser,-492616
L,Loksabha,Arakonam,"Elangovan, A",Male,33,GEN,IND,Independent,table lamp,804,0.0006,Tamil Nadu,01-01-2014,Loser,-492730
L,Loksabha,Arakonam,"Velu, V",Male,47,SC,IND,Independent,bread,783,0.0006,Tamil Nadu,01-01-2014,Loser,-492751
L,Loksabha,Arakonam,"Velu, R",Male,31,SC,IND,Independent,pot,747,0.0005,Tamil Nadu,01-01-2014,Loser,-492787
L,Loksabha,Arakonam,"Sridhar, R S",Male,53,GEN,IND,Independent,black board,723,0.0005,Tamil Nadu,01-01-2014,Loser,-492811
L,Loksabha,Arakonam,"Arun, N",Male,56,SC,IND,Independent,scissors,610,0.0004,Tamil Nadu,01-01-2014,Loser,-492924
L,Loksabha,Arakonam,"Hari, S",Male,40,GEN,IND,Independent,brush,599,0.0004,Tamil Nadu,01-01-2014,Loser,-492935
L,Loksabha,Arakonam,"Shettu, S",Male,41,SC,IND,Independent,gas cylinder,570,0.0004,Tamil Nadu,01-01-2014,Loser,-492964
L,Loksabha,Arakonam,"Harikrishnan, P",Male,28,GEN,IND,Independent,carrot,541,0.0004,Tamil Nadu,01-01-2014,Loser,-492993
L,Loksabha,Arakonam,"Elango, D",Male,49,GEN,IND,Independent,battery torch,517,0.0004,Tamil Nadu,01-01-2014,Loser,-493017
L,Loksabha,Arakonam,"Sadhu Muthu Kristnan Erajandran, T M S",Male,53,SC,IND,Independent,camera,484,0.0003,Tamil Nadu,01-01-2014,Loser,-493050
L,Loksabha,Arakonam,"Ravi, N D",Male,50,GEN,IND,Independent,candles,471,0.0003,Tamil Nadu,01-01-2014,Loser,-493063
L,Loksabha,Arakonam,Jagathrakshakan,Male,61,GEN,DMK,Dravida Munnetra Kazhagam,Unknown,415041,0.377799988,Tamil Nadu,01-01-2009,Winner,109796
L,Loksabha,Arakonam,Velu R,Male,68,GEN,PMK,Pattali Makkal Katchi,Unknown,305245,0.277799994,Tamil Nadu,01-01-2009,Loser,-109796
L,Loksabha,Arakonam,Sankar S,Male,40,GEN,DMDK,Desiya Murpokku Dravida Kazhagam,Unknown,82038,0.074699998,Tamil Nadu,01-01-2009,Loser,-333003
L,Loksabha,Arakonam,Panjatsaram D,Male,54,SC,IND,Independent,Unknown,7078,0.0064,Tamil Nadu,01-01-2009,Loser,-407963
L,Loksabha,Arakonam,Mary John,Male,61,GEN,BSP,Bahujan Samaj Party,Unknown,6641,0.006,Tamil Nadu,01-01-2009,Loser,-408400
L,Loksabha,Arakonam,Palani W B,Male,40,GEN,PNK,Puthiya Needhi Katchi,Unknown,6026,0.0055,Tamil Nadu,01-01-2009,Loser,-409015
L,Loksabha,Arakonam,Annamalai S C,Male,53,GEN,AIVP,Akila India Vallalar Peravai,Unknown,4305,0.0039,Tamil Nadu,01-01-2009,Loser,-410736
L,Loksabha,Arakonam,Muthiyalu M,Male,54,GEN,IND,Independent,Unknown,4084,0.0037,Tamil Nadu,01-01-2009,Loser,-410957
L,Loksabha,Arakonam,Janakiraman J,Male,31,GEN,IND,Independent,Unknown,4032,0.0037,Tamil Nadu,01-01-2009,Loser,-411009
L,Loksabha,Arakonam,Jagadeeswaran J,Male,30,GEN,IND,Independent,Unknown,3788,0.0034,Tamil Nadu,01-01-2009,Loser,-411253
L,Loksabha,Arakonam,Isaac Jeba Kumar S,Male,43,GEN,AIJMK,Akhila India Jananayaka Makkal Katchi (dr. Issac),Unknown,2799,0.0025,Tamil Nadu,01-01-2009,Loser,-412242
L,Loksabha,Arakonam,Pandian E,Male,33,GEN,IND,Independent,Unknown,2298,0.0021,Tamil Nadu,01-01-2009,Loser,-412743
L,Loksabha,Arakonam,Sutha N,Male,42,SC,IND,Independent,Unknown,1883,0.0017,Tamil Nadu,01-01-2009,Loser,-413158
L,Loksabha,Arakonam,Jegan S,Male,30,GEN,IND,Independent,Unknown,1615,0.0015,Tamil Nadu,01-01-2009,Loser,-413426
L,Loksabha,Arakonam,Shanmugam K,Male,57,GEN,JD(U),Janata Dal (united),Unknown,1533,0.0014,Tamil Nadu,01-01-2009,Loser,-413508
L,Loksabha,Arakonam,Mathew N D,Male,36,GEN,IND,Independent,Unknown,1247,0.0011,Tamil Nadu,01-01-2009,Loser,-413794
L,Loksabha,Arakonam,Thulasi G,Male,35,GEN,IND,Independent,Unknown,1089,0.001,Tamil Nadu,01-01-2009,Loser,-413952
L,Loksabha,Arakonam,Manavaulan K,Male,54,GEN,SP,Samajwadi Party,Unknown,980,0.0009,Tamil Nadu,01-01-2009,Loser,-414061
L,Loksabha,Arakonam,Srinivasan K,Male,32,SC,LJP,Lok Jan Shakti Party,Unknown,765,0.0007,Tamil Nadu,01-01-2009,Loser,-414276
L,Loksabha,Arakonam,Passamighu Annan Venkatesanor Ta V,Male,53,GEN,ADSMK,Anaithindia Dravidar Samudaya Munnetra Kazhagam,Unknown,629,0.0006,Tamil Nadu,01-01-2009,Loser,-414412
L,Loksabha,Arakonam,"Velu, R",Male,63,GEN,PMK,Pattali Makkal Katchi,Unknown,386911,NULL,Tamil Nadu,01-01-2004,Winner,102196
L,Loksabha,Arakonam,Shanmugam N,Male,57,GEN,ADMK,All India Anna Dravida Munnetra Kazhagam,Unknown,284715,NULL,Tamil Nadu,01-01-2004,Loser,-102196
L,Loksabha,Arakonam,Sethumadhavan S,Male,43,GEN,JD(U),Janata Dal (united),Unknown,34876,NULL,Tamil Nadu,01-01-2004,Loser,-352035
