Election_Id,Election_Type,Constituency,Candidate_Name,Gender,Age,Caste,Party,Party_Name,Symbol,Total_Votes,Percentage_Votes,State,Year,Result,Margin
A,Assembly,Devarakonda,Bheelya Naik Kethavath, Male,45, ST,BSP, Bahujan Samaj Party, elephant,38027,0.100000001,Telangana,01-01-2018,Loser,-10345
A,Assembly,Devarakonda,Bhojya Naik Ramavath, Male,40, ST,PJSP, Prajaa Swaraaj Party, road roller,22851,0.02,Telangana,01-01-2018,Loser,-25521
A,Assembly,Devarakonda,Gopi @ Kalyan Naik, Male,37, ST,BJP, Bharatiya Janata Party, lotus,2571,0.02,Telangana,01-01-2018,Loser,-45801
A,Assembly,Devarakonda,None Of The Above,Unknown,Unknown,Unknown,NOTA, None Of The Above, nota,2331,0.01,Telangana,01-01-2018,Loser,-46041
A,Assembly,Devarakonda,Sreenu Vadthya, Male,33, ST,IND, Independent, tractor chalata kisan,2062,0.01,Telangana,01-01-2018,Loser,-46310
A,Assembly,Devarakonda,Laxman Nayak Ramavath, Male,26, ST,CPM, Communist Party Of India (marxist)," hammer, sickle and star",1210,0.01,Telangana,01-01-2018,Loser,-47162
A,Assembly,Devarakonda,Konreddy Pochaiah, Male,52, ST,IND, Independent, air conditioner,1005,NULL,Telangana,01-01-2018,Loser,-47367
A,Assembly,Devarakonda,Katravath Venkatesh, Male,30, ST,BMUP, Bahujan Mukti Party, cot,814,NULL,Telangana,01-01-2018,Loser,-47558
A,Assembly,Devarakonda,Pandu Ramavath, Male,32, ST,IND, Independent, whistle,47228,NULL,Telangana,01-01-2018,Loser,-1144
A,Assembly,Devarkadra,Alla Venkateswar Reddy, Male,51, GEN,TRS, Telangana Rashtra Samithi, car,41880,0.550000012,Telangana,01-01-2018,Loser,-4561
A,Assembly,Devarkadra,Pavan Kumar, Male,45, GEN,INC, Indian National Congress, hand,8666,0.349999994,Telangana,01-01-2018,Loser,-37775
A,Assembly,Devarkadra,A Venkateshwar Reddy, Male,50, GEN,SMFB, Samajwadi Forward Bloc, truck,5053,0.029999999,Telangana,01-01-2018,Loser,-41388
A,Assembly,Devarkadra,Aggani Narsimulu, Male,48, GEN,BJP, Bharatiya Janata Party, lotus,2449,0.029999999,Telangana,01-01-2018,Loser,-43992
A,Assembly,Devarkadra,None Of The Above,Unknown,Unknown,Unknown,NOTA, None Of The Above, nota,2257,0.02,Telangana,01-01-2018,Loser,-44184
A,Assembly,Devarkadra,Rachala Yugander Goud, Male,38, GEN,BSP, Bahujan Samaj Party, elephant,1567,0.01,Telangana,01-01-2018,Loser,-44874
