Election_Id,Election_Type,Constituency,Candidate_Name,Gender,Age,Caste,Party,Party_Name,Symbol,Total_Votes,Percentage_Votes,State,Year,Result,Margin
L,Loksabha,hardwar,Mohd Mursaleen Qureshi,Male,35,GEN,IND,Independent,Unknown,1876,NULL,Uttarakhand,01-01-2009,Loser,-330359
L,Loksabha,hardwar,Shahida Begam,Female,46,GEN,IND,Independent,Unknown,1708,NULL,Uttarakhand,01-01-2009,Loser,-330527
L,Loksabha,hardwar,Ramsharan Bhatt,Male,38,GEN,IND,Independent,Unknown,1662,NULL,Uttarakhand,01-01-2009,Loser,-330573
L,Loksabha,hardwar,Kulveer Singh,Male,29,GEN,IND,Independent,Unknown,1558,NULL,Uttarakhand,01-01-2009,Loser,-330677
L,Loksabha,hardwar,V K Kampani,Male,63,GEN,IND,Independent,Unknown,1175,NULL,Uttarakhand,01-01-2009,Loser,-331060
L,Loksabha,hardwar,Subhash,Male,50,GEN,MKD,Maidani Kranti Dal,Unknown,1106,NULL,Uttarakhand,01-01-2009,Loser,-331129
L,Loksabha,hardwar,Rajeev Gupta,Male,47,GEN,RJSD,Rashtriya Jan Sahay Dal,Unknown,1060,NULL,Uttarakhand,01-01-2009,Loser,-331175
L,Loksabha,hardwar,Abbas,Male,31,GEN,IND,Independent,Unknown,1057,NULL,Uttarakhand,01-01-2009,Loser,-331178
L,Loksabha,hardwar,Natthu Ram,Male,47,GEN,IND,Independent,Unknown,1022,NULL,Uttarakhand,01-01-2009,Loser,-331213
L,Loksabha,hardwar,Pt Shivam Maharaj,Male,40,GEN,IND,Independent,Unknown,936,NULL,Uttarakhand,01-01-2009,Loser,-331299
L,Loksabha,hardwar,Ajay Kathuria,Male,37,GEN,IND,Independent,Unknown,689,NULL,Uttarakhand,01-01-2009,Loser,-331546
L,Loksabha,hardwar,Riasat Ali,Male,52,GEN,RPI(A),Republican Party Of India (a),Unknown,589,NULL,Uttarakhand,01-01-2009,Loser,-331646
L,Loksabha,hardwar,Rajendra Kumar,Male,46,SC,SP,Samajwadi Party,Unknown,157331,NULL,Uttarakhand,01-01-2004,Winner,37659
L,Loksabha,hardwar,Dr Bhagwandass,Male,54,SC,BSP,Bahujan Samaj Party,Unknown,119672,NULL,Uttarakhand,01-01-2004,Loser,-37659
L,Loksabha,hardwar,Harpal Singh Sathi,Male,58,SC,BJP,Bharatiya Janata Party,Unknown,117979,NULL,Uttarakhand,01-01-2004,Loser,-39352
L,Loksabha,hardwar,Deepak Kumar,Male,47,SC,INC,Indian National Congress,Unknown,76001,NULL,Uttarakhand,01-01-2004,Loser,-81330
L,Loksabha,hardwar,Roop Chand,Male,43,SC,SHS,Shivsena,Unknown,5385,NULL,Uttarakhand,01-01-2004,Loser,-151946
L,Loksabha,hardwar,Vinod Kumar,Male,31,SC,IND,Independent,Unknown,3983,NULL,Uttarakhand,01-01-2004,Loser,-153348
L,Loksabha,hardwar,Arvind,Male,28,SC,UKKD,Uttarakhand Kranti Dal,Unknown,2982,NULL,Uttarakhand,01-01-2004,Loser,-154349
L,Loksabha,hardwar,Babu Ram,Male,58,SC,IND,Independent,Unknown,1531,NULL,Uttarakhand,01-01-2004,Loser,-155800
L,Loksabha,hardwar,Ghasita,Male,61,SC,IND,Independent,Unknown,1488,NULL,Uttarakhand,01-01-2004,Loser,-155843
L,Loksabha,hardwar,Harpal Singh Sathi,Male,Unknown,Unknown,BJP,Bharatiya Janata Party,Unknown,236844,NULL,Uttarakhand,01-01-1999,Winner,32847
L,Loksabha,hardwar,Ramesh Kumar Burman,Male,Unknown,Unknown,BSP,Bahujan Samaj Party,Unknown,203997,NULL,Uttarakhand,01-01-1999,Loser,-32847
L,Loksabha,hardwar,Shishpal Alias S P Singh Engineer,Male,Unknown,Unknown,INC,Indian National Congress,Unknown,139724,NULL,Uttarakhand,01-01-1999,Loser,-97120
L,Loksabha,hardwar,Surendra Kumar Rakesh,Male,Unknown,Unknown,SP,Samajwadi Party,Unknown,54091,NULL,Uttarakhand,01-01-1999,Loser,-182753
L,Loksabha,hardwar,Smt Rekha Balmiki,Female,Unknown,Unknown,IND,Independent,Unknown,8607,NULL,Uttarakhand,01-01-1999,Loser,-228237
L,Loksabha,hardwar,Sukhpal Singh Balmiki,Male,Unknown,Unknown,JSAP,Jan Satta Party,Unknown,5536,NULL,Uttarakhand,01-01-1999,Loser,-231308
L,Loksabha,hardwar,Amar Singh,Male,Unknown,Unknown,NLP,National Loktantrik Party,Unknown,4821,NULL,Uttarakhand,01-01-1999,Loser,-232023
L,Loksabha,hardwar,Rajbeer Kori,Male,Unknown,Unknown,IND,Independent,Unknown,4250,NULL,Uttarakhand,01-01-1999,Loser,-232594
L,Loksabha,hardwar,Sadhu Ram,Male,Unknown,Unknown,SHS,Shivsena,Unknown,3727,NULL,Uttarakhand,01-01-1999,Loser,-233117
L,Loksabha,hardwar,Dr Bhagwan Das,Male,Unknown,Unknown,LS,Lok Shakti,Unknown,3023,NULL,Uttarakhand,01-01-1999,Loser,-233821
L,Loksabha,hardwar,Surendra,Male,Unknown,Unknown,IND,Independent,Unknown,1603,NULL,Uttarakhand,01-01-1999,Loser,-235241
L,Loksabha,hardwar,Harpal Singh,Male,Unknown,Unknown,IND,Independent,Unknown,659,NULL,Uttarakhand,01-01-1999,Loser,-236185
L,Loksabha,hardwar,Harpal Singh Sathi,Male,Unknown,Unknown,BJP,Bharatiya Janata Party,Unknown,320229,NULL,Uttarakhand,01-01-1998,Winner,129873
L,Loksabha,hardwar,Jag Pal Singh,Male,Unknown,Unknown,SP,Samajwadi Party,Unknown,190356,NULL,Uttarakhand,01-01-1998,Loser,-129873
L,Loksabha,hardwar,Ram Singh,Male,Unknown,Unknown,BSP,Bahujan Samaj Party,Unknown,173495,NULL,Uttarakhand,01-01-1998,Loser,-146734
L,Loksabha,hardwar,Chaman Lal Chaman,Male,Unknown,Unknown,INC,Indian National Congress,Unknown,21194,NULL,Uttarakhand,01-01-1998,Loser,-299035
L,Loksabha,hardwar,Satya Pal,Male,Unknown,Unknown,IND,Independent,Unknown,6359,NULL,Uttarakhand,01-01-1998,Loser,-313870
L,Loksabha,hardwar,Om Prakash,Male,Unknown,Unknown,IND,Independent,Unknown,2464,NULL,Uttarakhand,01-01-1998,Loser,-317765
L,Loksabha,hardwar,Roop Chand,Male,Unknown,Unknown,IND,Independent,Unknown,983,NULL,Uttarakhand,01-01-1998,Loser,-319246
L,Loksabha,hardwar,Jitendra Kumar,Male,Unknown,Unknown,IND,Independent,Unknown,434,NULL,Uttarakhand,01-01-1998,Loser,-319795
L,Loksabha,hardwar,Brijesh Kumar,Male,Unknown,Unknown,IND,Independent,Unknown,276,NULL,Uttarakhand,01-01-1998,Loser,-319953
L,Loksabha,hardwar,Harpal Sathi,Male,Unknown,Unknown,BJP,Bharatiya Janata Party,Unknown,227675,NULL,Uttarakhand,01-01-1996,Winner,66100
L,Loksabha,hardwar,Jag Pal Singh,Male,Unknown,Unknown,SP,Samajwadi Party,Unknown,161575,NULL,Uttarakhand,01-01-1996,Loser,-66100
L,Loksabha,hardwar,Ilam Singh,Male,Unknown,Unknown,BSP,Bahujan Samaj Party,Unknown,157303,NULL,Uttarakhand,01-01-1996,Loser,-70372
L,Loksabha,hardwar,Rudar Dev,Male,Unknown,Unknown,INC,Indian National Congress,Unknown,29999,NULL,Uttarakhand,01-01-1996,Loser,-197676
L,Loksabha,hardwar,Dal Chander Chachar,Male,Unknown,Unknown,AIIC(T),All India Indira Congress (tiwari),Unknown,10234,NULL,Uttarakhand,01-01-1996,Loser,-217441
L,Loksabha,hardwar,Rup Chand,Male,Unknown,Unknown,IND,Independent,Unknown,6863,NULL,Uttarakhand,01-01-1996,Loser,-220812
L,Loksabha,hardwar,Brij Pal,Male,Unknown,Unknown,IND,Independent,Unknown,3889,NULL,Uttarakhand,01-01-1996,Loser,-223786
L,Loksabha,hardwar,Charan Singh,Male,Unknown,Unknown,IND,Independent,Unknown,1991,NULL,Uttarakhand,01-01-1996,Loser,-225684
L,Loksabha,hardwar,Isam Singh,Male,Unknown,Unknown,IND,Independent,Unknown,1616,NULL,Uttarakhand,01-01-1996,Loser,-226059
L,Loksabha,hardwar,Muwasi Ram,Male,Unknown,Unknown,IND,Independent,Unknown,1434,NULL,Uttarakhand,01-01-1996,Loser,-226241
L,Loksabha,hardwar,Joti Ram,Male,Unknown,Unknown,IND,Independent,Unknown,941,NULL,Uttarakhand,01-01-1996,Loser,-226734
L,Loksabha,hardwar,Satya Paul,Male,Unknown,Unknown,ARS,Arya Sabha,Unknown,760,NULL,Uttarakhand,01-01-1996,Loser,-226915
L,Loksabha,hardwar,Manga,Male,Unknown,Unknown,IND,Independent,Unknown,672,NULL,Uttarakhand,01-01-1996,Loser,-227003
L,Loksabha,hardwar,Anil Kumar,Male,Unknown,Unknown,JP,Janata Party,Unknown,598,NULL,Uttarakhand,01-01-1996,Loser,-227077
L,Loksabha,hardwar,Om Singh Kapoor,Male,Unknown,Unknown,IND,Independent,Unknown,484,NULL,Uttarakhand,01-01-1996,Loser,-227191
L,Loksabha,hardwar,Hunar,Male,Unknown,Unknown,IND,Independent,Unknown,430,NULL,Uttarakhand,01-01-1996,Loser,-227245
L,Loksabha,hardwar,Dharam Singh Saudai,Male,Unknown,Unknown,IND,Independent,Unknown,376,NULL,Uttarakhand,01-01-1996,Loser,-227299
L,Loksabha,hardwar,Dhara Singh,Male,Unknown,Unknown,BSSM,Bharatiya Samaj Sangathan Morcha,Unknown,326,NULL,Uttarakhand,01-01-1996,Loser,-227349
L,Loksabha,hardwar,Om Pal,Male,Unknown,Unknown,IND,Independent,Unknown,291,NULL,Uttarakhand,01-01-1996,Loser,-227384
L,Loksabha,hardwar,Kewal Ram,Male,Unknown,Unknown,IND,Independent,Unknown,268,NULL,Uttarakhand,01-01-1996,Loser,-227407
L,Loksabha,hardwar,Bhagwan Dass,Male,Unknown,Unknown,IND,Independent,Unknown,262,NULL,Uttarakhand,01-01-1996,Loser,-227413
L,Loksabha,hardwar,Lekh Ram,Male,Unknown,Unknown,IND,Independent,Unknown,172,NULL,Uttarakhand,01-01-1996,Loser,-227503
L,Loksabha,hardwar,Pritam,Male,Unknown,Unknown,IND,Independent,Unknown,145,NULL,Uttarakhand,01-01-1996,Loser,-227530
L,Loksabha,hardwar,Mahinder Singh Lamian,Male,Unknown,Unknown,IND,Independent,Unknown,127,NULL,Uttarakhand,01-01-1996,Loser,-227548
L,Loksabha,hardwar,Ram Singh,Male,Unknown,Unknown,BJP,Bharatiya Janata Party,Unknown,205182,NULL,Uttarakhand,01-01-1991,Winner,7197
L,Loksabha,hardwar,Dharam Singh,Male,Unknown,Unknown,JD,Janata Dal,Unknown,197985,NULL,Uttarakhand,01-01-1991,Loser,-7197
L,Loksabha,hardwar,Jagpal Singh,Male,Unknown,Unknown,INC,Indian National Congress,Unknown,77832,NULL,Uttarakhand,01-01-1991,Loser,-127350
L,Loksabha,hardwar,Mayawati (w),Female,Unknown,Unknown,BSP,Bahujan Samaj Party,Unknown,22384,NULL,Uttarakhand,01-01-1991,Loser,-182798
L,Loksabha,hardwar,Kiranpal,Male,Unknown,Unknown,JP,Janata Party,Unknown,5503,NULL,Uttarakhand,01-01-1991,Loser,-199679
