Election_Id,Election_Type,Constituency,Candidate_Name,Gender,Age,Caste,Party,Party_Name,Symbol,Total_Votes,Percentage_Votes,State,Year,Result,Margin
L,Loksabha,Alipurduars,John Barla, Male,43, ST,BJP, Bharatiya Janata Party, lotus,750804,0.543600023,West Bengal,01-01-2019,Winner,243989
L,Loksabha,Alipurduars,Dasrath Tirkey, Male,52, ST,AITC, All India Trinamool Congress, flowers and grass,506815,0.366899997,West Bengal,01-01-2019,Loser,-243989
L,Loksabha,Alipurduars,Mili Oraon, Female,42, ST,RSP, Revolutionary Socialist Party, spade & stoker,54010,0.039099999,West Bengal,01-01-2019,Loser,-696794
L,Loksabha,Alipurduars,Mohanlal Basumata, Male,44, ST,INC, Indian National Congress, hand,27427,0.0199,West Bengal,01-01-2019,Loser,-723377
L,Loksabha,Alipurduars,Nota,Unknown,Unknown,Unknown,NOTA, None Of The Above,Unknown,21175,0.0153,West Bengal,01-01-2019,Loser,-729629
L,Loksabha,Alipurduars,Prasen Jayant Kindo, Male,32, ST,IND, Independent, football,11518,0.0083,West Bengal,01-01-2019,Loser,-739286
L,Loksabha,Alipurduars,Gergory Trikey, Male,36, ST,IND, Independent, winnower,4303,0.0031,West Bengal,01-01-2019,Loser,-746501
L,Loksabha,Alipurduars,Rabichan Rabha, Male,49, ST,SUCI(C), Socialist Unity Centre Of India (communist), battery torch,4165,0.003,West Bengal,01-01-2019,Loser,-746639
L,Loksabha,Alipurduars,Dasrath Tirkey, Male,47, ST,AITC, All India Trinamool Congress, flowers and grass,362453,0.246399999,West Bengal,01-01-2014,Winner,21397
L,Loksabha,Alipurduars,Manohar Tirkey, Male,60, ST,RSP, Revolutionary Socialist Party, spade & stoker,341056,0.231900007,West Bengal,01-01-2014,Loser,-21397
L,Loksabha,Alipurduars,Birendra Bara (oraon), Male,31, ST,BJP, Bharatiya Janata Party, lotus,335857,0.228300005,West Bengal,01-01-2014,Loser,-26596
L,Loksabha,Alipurduars,Joseph Munda, Male,43, ST,INC, Indian National Congress, hand,116718,0.079400003,West Bengal,01-01-2014,Loser,-245735
L,Loksabha,Alipurduars,None Of The Above,Unknown,Unknown,Unknown,NOTA, None Of The Above, nota,19885,0.0135,West Bengal,01-01-2014,Loser,-342568
L,Loksabha,Alipurduars,Eliash Narjinary, Male,62, ST,BSP, Bahujan Samaj Party, elephant,11039,0.0075,West Bengal,01-01-2014,Loser,-351414
L,Loksabha,Alipurduars,Paul Dexion Khariya, Male,60, ST,IND, Independent, basket containing fruits,10450,0.0071,West Bengal,01-01-2014,Loser,-352003
L,Loksabha,Alipurduars,Dr Kapin Ch Boro, Male,57, ST,IND, Independent, cup & saucer,7676,0.0052,West Bengal,01-01-2014,Loser,-354777
L,Loksabha,Alipurduars,Subash Chik Baraik, Male,36, ST,SUCI, Socialist Unity Centre Of India(communist), glass tumbler,7131,0.0048,West Bengal,01-01-2014,Loser,-355322
L,Loksabha,Alipurduars,Ishabela Kujur, Female,30, ST,RaJSP, Rashtriya Janadhikar Suraksha Party, candles,5961,0.0041,West Bengal,01-01-2014,Loser,-356492
L,Loksabha,Alipurduars,Bilkan Bara, Male,68, ST,SWJP, Samajwadi Jan Parishad, battery torch,5340,0.0036,West Bengal,01-01-2014,Loser,-357113
L,Loksabha,Alipurduars,Manohar Tirkey, Male,54, ST,RSP, Revolutionary Socialist Party,Unknown,384890,0.31310001,West Bengal,01-01-2009,Winner,112822
L,Loksabha,Alipurduars,Paban Kumar Lakra, Male,56, ST,AITC, All India Trinamool Congress,Unknown,272068,0.221300006,West Bengal,01-01-2009,Loser,-112822
L,Loksabha,Alipurduars,Manoj Tigga, Male,36, ST,BJP, Bharatiya Janata Party,Unknown,199843,0.162599996,West Bengal,01-01-2009,Loser,-185047
L,Loksabha,Alipurduars,Joachim Baxla, Male,55, ST,IND, Independent,Unknown,18855,0.0153,West Bengal,01-01-2009,Loser,-366035
L,Loksabha,Alipurduars,Pauldexion Khariya, Male,55, ST,IND, Independent,Unknown,16856,0.0137,West Bengal,01-01-2009,Loser,-368034
L,Loksabha,Alipurduars,Elias Narjinary, Male,56, ST,BSP, Bahujan Samaj Party,Unknown,14155,0.0115,West Bengal,01-01-2009,Loser,-370735
L,Loksabha,Alipurduars,Bilkan Bara, Male,62, ST,SWJP, Samajwadi Jan Parishad,Unknown,9659,0.0079,West Bengal,01-01-2009,Loser,-375231
L,Loksabha,Alipurduars,Thaddeus Lakra, Male,60, ST,IND, Independent,Unknown,8750,0.0071,West Bengal,01-01-2009,Loser,-376140
L,Loksabha,Alipurduars,Kamal Lama, Male,49, ST,IND, Independent,Unknown,8658,0.007,West Bengal,01-01-2009,Loser,-376232
L,Loksabha,Alipurduars,Joachim Baxla, Male,49, ST,RSP, Revolutionary Socialist Party,Unknown,384252,NULL,West Bengal,01-01-2004,Winner,145124
L,Loksabha,Alipurduars,Manoj Tigga, Male,31, ST,BJP, Bharatiya Janata Party,Unknown,239128,NULL,West Bengal,01-01-2004,Loser,-145124
L,Loksabha,Alipurduars,Ratan Lal Baraik, Male,59, ST,INC, Indian National Congress,Unknown,169499,NULL,West Bengal,01-01-2004,Loser,-214753
L,Loksabha,Alipurduars,Samarendra Ekka ( Pintu), Male,40, ST,IND, Independent,Unknown,20014,NULL,West Bengal,01-01-2004,Loser,-364238
L,Loksabha,Alipurduars,Rampratap Baraik, Male,62, ST,IND, Independent,Unknown,14087,NULL,West Bengal,01-01-2004,Loser,-370165
L,Loksabha,Alipurduars,Paul Dexion Kharia, Male,52, ST,IND, Independent,Unknown,13856,NULL,West Bengal,01-01-2004,Loser,-370396
L,Loksabha,Alipurduars,Joachim Baxla, Male,Unknown,Unknown,RSP, Revolutionary Socialist Party,Unknown,389919,0.512499988,West Bengal,01-01-1999,Winner,153133
L,Loksabha,Alipurduars,Dhirendra Narjinarai, Male,Unknown,Unknown,BJP, Bharatiya Janata Party,Unknown,236786,0.311199993,West Bengal,01-01-1999,Loser,-153133
L,Loksabha,Alipurduars,Basanti Baraik, Female,Unknown,Unknown,INC, Indian National Congress,Unknown,119309,0.156800002,West Bengal,01-01-1999,Loser,-270610
L,Loksabha,Alipurduars,Rabindra Kumar Brahma, Male,Unknown,Unknown,IND, Independent,Unknown,7403,0.0097,West Bengal,01-01-1999,Loser,-382516
L,Loksabha,Alipurduars,Ram Pratap Baraik, Male,Unknown,Unknown,IND, Independent,Unknown,5199,0.0068,West Bengal,01-01-1999,Loser,-384720
L,Loksabha,Alipurduars,Kolha Baraik, Male,Unknown,Unknown,NCP, Nationalist Congress Party,Unknown,2246,0.003,West Bengal,01-01-1999,Loser,-387673
L,Loksabha,Alipurduars,Joachim Baxla, Male,Unknown,Unknown,RSP, Revolutionary Socialist Party,Unknown,415006,0.514699996,West Bengal,01-01-1998,Winner,195599
L,Loksabha,Alipurduars,Dhirendra Narjinarai, Male,Unknown,Unknown,BJP, Bharatiya Janata Party,Unknown,219407,0.272100002,West Bengal,01-01-1998,Loser,-195599
L,Loksabha,Alipurduars,Bulu Ram Prodhan, Male,Unknown,Unknown,INC, Indian National Congress,Unknown,162168,0.201100007,West Bengal,01-01-1998,Loser,-252838
L,Loksabha,Alipurduars,Fabianus Tirkey, Male,Unknown,Unknown,SWJP, Samajwadi Jan Parishad,Unknown,6699,0.0083,West Bengal,01-01-1998,Loser,-408307
